arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,orszag_tang,hll,0,0.0000000000e+00,5.9107166279e-03,2.2146163002e+00,1.2147501623e+00,1.2148467227e+00,2.2146163002e+00,2.7777777778e+00,2.7777777778e+00,1.6666666667e+00,1.6666666667e+00,9.9986613791e-01,9.9946458748e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
cpu,orszag_tang,hll,5,2.9516597153e-02,5.8923317118e-03,2.2215262192e+00,1.2213461127e+00,1.2169092461e+00,2.2215262192e+00,2.7841245118e+00,2.7743025857e+00,1.6730390969e+00,1.6631456629e+00,9.9966870053e-01,1.0180609978e+00,0.0000000000e+00,2.0784788915e-03,8.8027074966e+00,1.2320935856e-03,0
cpu,orszag_tang,hll,10,5.8937389215e-02,5.8719930173e-03,2.2292208712e+00,1.2272171640e+00,1.2189131095e+00,2.2292208712e+00,2.8032526935e+00,2.7639860201e+00,1.6922831541e+00,1.6528034937e+00,9.9984126537e-01,1.0343658404e+00,0.0000000000e+00,3.5316537529e-03,1.8188367519e+01,2.8685640658e-03,0
cpu,orszag_tang,hll,15,8.8253845327e-02,5.8509961628e-03,2.2372206417e+00,1.2324307610e+00,1.2209214539e+00,2.2372206417e+00,2.8355187501e+00,2.7469381093e+00,1.7249379685e+00,1.6357940853e+00,1.0005420411e+00,1.0484145342e+00,0.0000000000e+00,4.5646204011e-03,2.7582972396e+01,4.7208340285e-03,0
cpu,orszag_tang,hll,20,1.1746119592e-01,5.8192886305e-03,2.2494105759e+00,1.2370491234e+00,1.2229491991e+00,2.2494105759e+00,2.8816053322e+00,2.7237448284e+00,1.7720114238e+00,1.6127823794e+00,1.0018541048e+00,1.0604290909e+00,0.0000000000e+00,5.3282605643e-03,3.6686067130e+01,6.1354427873e-03,0
cpu,orszag_tang,hll,25,1.4645304372e-01,5.7673798140e-03,2.2696562065e+00,1.2410160764e+00,1.2249828369e+00,2.2696562065e+00,2.9423074913e+00,2.6950859265e+00,1.8347897016e+00,1.5845138592e+00,1.0037023276e+00,1.0702832951e+00,0.0000000000e+00,5.9341592278e-03,4.5284726153e+01,7.2658942328e-03,0
cpu,orszag_tang,hll,30,1.7518818780e-01,5.7174717508e-03,2.2894681357e+00,1.2443835404e+00,1.2269918861e+00,2.2894681357e+00,3.0187601444e+00,2.6616565263e+00,1.9151083472e+00,1.5518210972e+00,1.0060514599e+00,1.0780365306e+00,0.0000000000e+00,6.4704778748e-03,5.3237039273e+01,8.4121569114e-03,0
cpu,orszag_tang,hll,35,2.0367752283e-01,5.6692089947e-03,2.3089586929e+00,1.2473117567e+00,1.2291105328e+00,2.3089586929e+00,3.1125736555e+00,2.6242061276e+00,2.0155598108e+00,1.5155104904e+00,1.0089741452e+00,1.0842310445e+00,0.0000000000e+00,7.0167195648e-03,6.0511422912e+01,9.2903236109e-03,0
cpu,orszag_tang,hll,40,2.3193155153e-01,5.6234113076e-03,2.3277631092e+00,1.2498552888e+00,1.2312606135e+00,2.3277631092e+00,3.2257939085e+00,2.5833832069e+00,2.1395487244e+00,1.4763166306e+00,1.0124263802e+00,1.0891305504e+00,0.0000000000e+00,7.6447555335e-03,6.7021437380e+01,1.1984013107e-02,0
cpu,orszag_tang,hll,45,2.5996135900e-01,5.5797970758e-03,2.3459579645e+00,1.2521657099e+00,1.2335969021e+00,2.3459579645e+00,3.3609036603e+00,2.5397958695e+00,2.2914198702e+00,1.4349535407e+00,1.0165109587e+00,1.0930882114e+00,0.0000000000e+00,8.4059804178e-03,7.2821068915e+01,1.5810113703e-02,0
