arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,rotor,hll,0,0.0000000000e+00,3.9105444240e-04,2.5571886970e+00,1.4104739589e+00,1.8410423104e+00,2.5571886970e+00,1.0000000000e+01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.4104739589e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
cpu,rotor,hll,5,1.9774381532e-03,4.0012390442e-04,2.4992258372e+00,1.4105208814e+00,1.8410442376e+00,2.4992258372e+00,9.9989998636e+00,9.9997567759e-01,1.0813263425e+00,9.8864709185e-01,1.6379329859e+00,4.0345366967e-01,0.0000000000e+00,7.5158693126e-02,1.8425059908e+03,2.9199099289e+00,0
cpu,rotor,hll,10,3.9866356959e-03,4.0453600356e-04,2.4719678625e+00,1.4131052597e+00,1.8417684175e+00,2.4719678625e+00,1.0019262573e+01,9.9727535956e-01,1.1595080902e+00,9.7171356972e-01,1.8955828651e+00,8.0506650143e-01,0.0000000000e+00,1.0585831768e-01,3.8879479878e+03,8.3238359636e+00,0
cpu,rotor,hll,15,6.0193064080e-03,4.0962189159e-04,2.4412757729e+00,1.4421825995e+00,1.8548174499e+00,2.4412757729e+00,1.0083252293e+01,9.8803455692e-01,1.2415859306e+00,9.5273505432e-01,2.1332943390e+00,1.1281871818e+00,0.0000000000e+00,1.2802985949e-01,4.7962144242e+03,6.5079271741e+00,0
cpu,rotor,hll,20,8.0759942460e-03,4.1402201936e-04,2.4153304734e+00,1.5069080263e+00,1.8818663727e+00,2.4153304734e+00,1.0245865660e+01,9.7382441781e-01,1.3549190059e+00,9.3381306086e-01,2.3057054445e+00,1.3508835588e+00,0.0000000000e+00,1.5097254926e-01,6.5192305625e+03,1.0969957705e+01,0
cpu,rotor,hll,25,1.0148755745e-02,4.0356200406e-04,2.4779339728e+00,1.5968548101e+00,1.9215702960e+00,2.4779339728e+00,1.0577534884e+01,9.5651168051e-01,1.5161287717e+00,8.8639752021e-01,2.4217178653e+00,1.4886116133e+00,0.0000000000e+00,1.7828525393e-01,7.3263019469e+03,1.1966953531e+01,0
cpu,rotor,hll,30,1.2106772311e-02,3.7602677854e-04,2.6593850679e+00,1.6830072899e+00,1.9716822884e+00,2.6593850679e+00,1.1007632318e+01,9.3997294745e-01,1.6759169910e+00,8.2853272001e-01,2.5019306405e+00,1.5633414697e+00,0.0000000000e+00,2.0336720993e-01,7.7524054406e+03,1.4458359277e+01,0
cpu,rotor,hll,35,1.3946497216e-02,3.5730661299e-04,2.7987167425e+00,1.7533264524e+00,2.0218020125e+00,2.7987167425e+00,1.1411623888e+01,9.2534152211e-01,1.8178276445e+00,7.8556817898e-01,2.5486708273e+00,1.6091307287e+00,0.0000000000e+00,2.3023333275e-01,8.1889896518e+03,1.5433036198e+01,0
cpu,rotor,hll,40,1.5705651775e-02,3.4432287870e-04,2.9042508118e+00,1.8110496812e+00,2.0652746494e+00,2.9042508118e+00,1.1785696151e+01,9.1359870648e-01,1.9503964331e+00,7.5280445775e-01,2.5837101736e+00,1.6298396991e+00,0.0000000000e+00,2.3649459487e-01,8.5805507128e+03,1.7526163112e+01,0
cpu,rotor,hll,45,1.7407685078e-02,3.3480567771e-04,2.9868071738e+00,1.8603842286e+00,2.1020255243e+00,2.9868071738e+00,1.2094827484e+01,9.0314598414e-01,2.0612139444e+00,7.2506440441e-01,2.6072173109e+00,1.6324920515e+00,0.0000000000e+00,2.4832076092e-01,8.8020779166e+03,1.7023353646e+01,0
cpu,rotor,hll,50,1.9065774807e-02,3.2705421601e-04,3.0575970315e+00,1.9055740831e+00,2.1362223312e+00,3.0575970315e+00,1.2339743984e+01,8.9456865080e-01,2.1708234235e+00,7.0353909210e-01,2.6251666445e+00,1.6286734996e+00,0.0000000000e+00,2.4644095968e-01,8.9968670249e+03,1.8352947826e+01,0
cpu,rotor,hll,55,2.0686944891e-02,3.2024358313e-04,3.1226230678e+00,1.9490353758e+00,2.1691351975e+00,3.1226230678e+00,1.2534310409e+01,8.8774201409e-01,2.2521066626e+00,6.8737123438e-01,2.6408903746e+00,1.6278141482e+00,0.0000000000e+00,2.4727362424e-01,9.1017280359e+03,1.8323358147e+01,0
cpu,rotor,hll,60,2.2275569728e-02,3.1433382357e-04,3.1813311996e+00,1.9895703804e+00,2.2025736371e+00,3.1813311996e+00,1.2680229469e+01,8.8242097758e-01,2.3423205293e+00,6.6892830877e-01,2.6563851016e+00,1.6182860862e+00,0.0000000000e+00,2.5348356180e-01,9.1404745699e+03,1.9067500498e+01,0
cpu,rotor,hll,65,2.3836257861e-02,3.0902351604e-04,3.2359996832e+00,2.0271134233e+00,2.2333421886e+00,3.2359996832e+00,1.2783810168e+01,8.7826628586e-01,2.3973591826e+00,6.5195465197e-01,2.6737871091e+00,1.6079906260e+00,0.0000000000e+00,2.5153407634e-01,9.1867044734e+03,1.8339148422e+01,0
cpu,rotor,hll,70,2.5372142379e-02,3.0440871339e-04,3.2850570829e+00,2.0624540272e+00,2.2639407195e+00,3.2850570829e+00,1.2854602247e+01,8.7490925438e-01,2.4609790069e+00,6.3779169546e-01,2.6949118446e+00,1.6008476780e+00,0.0000000000e+00,2.4287230265e-01,9.2188575150e+03,1.8395886735e+01,0
cpu,rotor,hll,75,2.6886425424e-02,3.0066473499e-04,3.3259637184e+00,2.0948805415e+00,2.2924575955e+00,3.3259637184e+00,1.2901588731e+01,8.7253216021e-01,2.4945509361e+00,6.2328133774e-01,2.7162553823e+00,1.5911107792e+00,0.0000000000e+00,2.5695117896e-01,9.2198378386e+03,1.8393516123e+01,0
cpu,rotor,hll,80,2.8382567305e-02,2.9714781338e-04,3.3653284829e+00,2.1256655586e+00,2.3190194812e+00,3.3653284829e+00,1.2954219174e+01,8.7093241104e-01,2.5323334763e+00,6.1035169551e-01,2.7375821861e+00,1.5867057870e+00,0.0000000000e+00,2.3155946478e-01,9.2227915997e+03,1.7509189177e+01,0
cpu,rotor,hll,85,2.9862088889e-02,2.9397734439e-04,3.4016226729e+00,2.1553115314e+00,2.3477708314e+00,3.4016226729e+00,1.3005377738e+01,8.7003785822e-01,2.5529909554e+00,5.9992678172e-01,2.7574373927e+00,1.5809971611e+00,0.0000000000e+00,2.5354887289e-01,9.1611942430e+03,1.7168978825e+01,0
cpu,rotor,hll,90,3.1325995498e-02,2.9105039229e-04,3.4358311361e+00,2.1826809493e+00,2.3723196160e+00,3.4358311361e+00,1.3030184559e+01,8.6980982714e-01,2.5610032985e+00,5.8939807917e-01,2.7737782878e+00,1.5788043831e+00,0.0000000000e+00,2.4437483528e-01,9.1492968427e+03,1.5936030048e+01,0
cpu,rotor,hll,95,3.2775650889e-02,2.8846554933e-04,3.4666184656e+00,2.2110929470e+00,2.3974152353e+00,3.4666184656e+00,1.3019733456e+01,8.7012643231e-01,2.5789933494e+00,5.7973352309e-01,2.7888551493e+00,1.5746189908e+00,0.0000000000e+00,2.4046496759e-01,9.1529046023e+03,1.5823375678e+01,0
cpu,rotor,hll,100,3.4213196876e-02,2.8611039533e-04,3.4951543751e+00,2.2361123253e+00,2.4214582559e+00,3.4951543751e+00,1.2981469269e+01,8.7081581407e-01,2.5824132866e+00,5.7140743295e-01,2.8024302531e+00,1.5739555805e+00,0.0000000000e+00,2.6042359019e-01,9.2455942288e+03,1.5359316039e+01,0
cpu,rotor,hll,105,3.5640072944e-02,2.8415362130e-04,3.5192231422e+00,2.2587673557e+00,2.4430536431e+00,3.5192231422e+00,1.3001690042e+01,8.7177131203e-01,2.5818851154e+00,5.4980709790e-01,2.8117167444e+00,1.5720053227e+00,0.0000000000e+00,2.2696927380e-01,9.2861947801e+03,1.4469967665e+01,0
cpu,rotor,hll,110,3.7057371781e-02,2.8252379082e-04,3.5395249267e+00,2.2837947615e+00,2.4667111118e+00,3.5395249267e+00,1.3017134405e+01,8.7293355271e-01,2.5835979001e+00,5.2884044242e-01,2.8210349307e+00,1.5721255169e+00,0.0000000000e+00,2.3667948896e-01,9.1007782041e+03,1.4454827017e+01,0
cpu,rotor,hll,115,3.8466321927e-02,2.8084188075e-04,3.5607224868e+00,2.3052651572e+00,2.4866923023e+00,3.5607224868e+00,1.2997010327e+01,8.7416964675e-01,2.5887691797e+00,5.0891757511e-01,2.8295975730e+00,1.5696286143e+00,0.0000000000e+00,2.4931991308e-01,9.0898396819e+03,1.3840259107e+01,0
cpu,rotor,hll,120,3.9868003145e-02,2.7942746556e-04,3.5787462697e+00,2.3252175885e+00,2.5081525531e+00,3.5787462697e+00,1.2972042029e+01,8.7559108277e-01,2.5903905681e+00,4.8953680115e-01,2.8357028467e+00,1.5685350585e+00,0.0000000000e+00,2.1551010407e-01,9.2558216902e+03,1.4400860207e+01,0
cpu,rotor,hll,125,4.1262730286e-02,2.7833381542e-04,3.5928081483e+00,2.3470301025e+00,2.5275847127e+00,3.5928081483e+00,1.2986512167e+01,8.7717982255e-01,2.5916620304e+00,4.7084774855e-01,2.8416763304e+00,1.5660213228e+00,0.0000000000e+00,2.2272212759e-01,9.4142007061e+03,1.4214495381e+01,0
