arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,rotor,hllc,0,0.0000000000e+00,3.9105444240e-04,2.5571886970e+00,1.4104739589e+00,1.8410423104e+00,2.5571886970e+00,1.0000000000e+01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.4104739589e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
cpu,rotor,hllc,5,1.9563813057e-03,3.9185366814e-04,2.5519730484e+00,1.4496401687e+00,1.8605879805e+00,2.5519730484e+00,1.0034684743e+01,9.8533116378e-01,1.0597918775e+00,9.5646104735e-01,1.6416024590e+00,4.7599874247e-01,0.0000000000e+00,2.0690905978e-01,6.6828024430e+03,3.1819885665e+01,0
cpu,rotor,hllc,10,3.9187194543e-03,3.9359086418e-04,2.5407093787e+00,1.5065960372e+00,1.9085835515e+00,2.5407093787e+00,1.0173861341e+01,9.6632627864e-01,1.1520227626e+00,8.5593509864e-01,1.8865829478e+00,8.4660926179e-01,0.0000000000e+00,2.1686333950e-01,1.0835058741e+04,3.8585626366e+01,0
cpu,rotor,hllc,15,5.8914864343e-03,3.9620285336e-04,2.5239596119e+00,1.6657628742e+00,1.9324710867e+00,2.5239596119e+00,1.0508372365e+01,9.3662750124e-01,1.1967334214e+00,8.2367753329e-01,2.1594774912e+00,1.2980992164e+00,0.0000000000e+00,2.4581387847e-01,1.5453776958e+04,4.7588356110e+01,0
cpu,rotor,hllc,20,7.7708855471e-03,3.0935937704e-04,3.2324864679e+00,2.0468957998e+00,2.1129076717e+00,3.2324864679e+00,1.1078197423e+01,8.8754348385e-01,1.2845725152e+00,6.1374373436e-01,2.3642526747e+00,1.6746074483e+00,0.0000000000e+00,5.3637465930e-01,2.8158106189e+04,1.1793427440e+02,0
cpu,rotor,hllc,25,9.1385145784e-03,2.5751727170e-04,3.8832346793e+00,2.7115465084e+00,2.6996713940e+00,3.8832346793e+00,1.1745153804e+01,6.8989602330e-01,1.6618628247e+00,-1.6876221245e-01,2.4606924142e+00,1.9193752241e+00,0.0000000000e+00,1.5802720749e+00,4.6775454609e+04,2.4145994732e+02,106
cpu,rotor,hllc,30,1.0268460223e-02,1.8646651278e-04,5.3628932354e+00,3.5959774133e+00,3.5821089768e+00,5.3628932354e+00,1.2345711630e+01,4.2449739211e-01,2.0680635421e+00,-3.9362967090e-01,2.5326820512e+00,2.3040206416e+00,0.0000000000e+00,2.7060547137e+00,6.2660019161e+04,3.5443082806e+02,316
cpu,rotor,hllc,35,1.1167056674e-02,1.6278975406e-04,6.1428927501e+00,4.7032115274e+00,4.6724109220e+00,6.1428927501e+00,1.2852131929e+01,2.9129960850e-01,2.5724025440e+00,-6.2911323214e-01,2.5743963768e+00,2.4656647195e+00,0.0000000000e+00,4.7319297070e+00,7.7517904228e+04,4.5185208143e+02,624
cpu,rotor,hllc,40,1.1930031710e-02,1.1722286492e-04,8.5307589154e+00,5.7002799611e+00,5.6862927971e+00,8.5307589154e+00,1.3256199142e+01,1.9383713431e-01,2.4274731220e+00,-7.7018715585e-01,2.6040892709e+00,2.5587627300e+00,0.0000000000e+00,5.0858292218e+00,9.2822636852e+04,4.3208913829e+02,760
cpu,rotor,hllc,45,1.2554323866e-02,1.2234777469e-04,8.1734220545e+00,5.7001236827e+00,5.5814499085e+00,8.1734220545e+00,1.3583141068e+01,1.1632255778e-01,2.7904420680e+00,-7.9981018521e-01,2.6240709052e+00,2.5054218796e+00,0.0000000000e+00,5.0569250144e+00,1.0837223520e+05,3.8609680319e+02,776
