arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
gpu,rotor,hllc,0,0.0000000000e+00,3.9105444240e-04,2.5571886970e+00,1.4104739589e+00,1.8410423104e+00,2.5571886970e+00,1.0000000000e+01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.4104739589e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
gpu,rotor,hllc,5,1.9563813057e-03,3.9185366814e-04,2.5519730484e+00,1.4496401687e+00,1.8605879805e+00,2.5519730484e+00,1.0034684743e+01,9.8533116378e-01,1.0597918775e+00,9.5646104735e-01,1.6416024590e+00,4.7599874247e-01,0.0000000000e+00,2.0690905978e-01,6.6828024430e+03,3.1819885665e+01,0
gpu,rotor,hllc,10,3.9187194543e-03,3.9359086418e-04,2.5407093787e+00,1.5065960372e+00,1.9085835515e+00,2.5407093787e+00,1.0173861341e+01,9.6632627864e-01,1.1520227626e+00,8.5593509864e-01,1.8865829478e+00,8.4660926179e-01,0.0000000000e+00,2.1686333950e-01,1.0835058741e+04,3.8585626366e+01,0
gpu,rotor,hllc,15,5.8914864343e-03,3.9620285336e-04,2.5239596119e+00,1.6657628742e+00,1.9324710867e+00,2.5239596119e+00,1.0508372365e+01,9.3662750124e-01,1.1967334214e+00,8.2367753329e-01,2.1594774912e+00,1.2980992164e+00,0.0000000000e+00,2.4581387847e-01,1.5453776958e+04,4.7588356110e+01,0
gpu,rotor,hllc,20,7.7708855471e-03,3.0935937704e-04,3.2324864679e+00,2.0468957998e+00,2.1129076717e+00,3.2324864679e+00,1.1078197423e+01,8.8754348385e-01,1.2845725152e+00,6.1374373436e-01,2.3642526747e+00,1.6746074483e+00,0.0000000000e+00,5.3637465930e-01,2.8158106189e+04,1.1793427440e+02,0
gpu,rotor,hllc,25,9.1080245216e-03,2.3365280410e-04,4.2798544783e+00,2.6795120079e+00,2.6651422080e+00,4.2798544783e+00,1.1727767509e+01,7.2693338523e-01,1.3895957495e+00,7.8339568507e-02,2.4576014785e+00,1.9143951766e+00,0.0000000000e+00,1.6269805984e+00,4.5964152790e+04,2.4025025247e+02,22
gpu,rotor,hllc,30,1.0249748737e-02,2.0121050968e-04,4.9699193228e+00,3.3915260130e+00,3.3736224312e+00,4.9699193228e+00,1.2332908397e+01,4.7577403823e-01,1.6993869131e+00,1.0057743222e-02,2.5332433571e+00,2.1619246085e+00,0.0000000000e+00,2.6214179473e+00,6.1434704285e+04,3.1487974011e+02,62
gpu,rotor,hllc,35,1.1220592652e-02,1.7714872265e-04,5.6449743754e+00,4.1766110194e+00,4.1079038157e+00,5.6449743754e+00,1.2880658278e+01,3.5376604539e-01,2.0687584471e+00,1.8842193181e-03,2.5790637177e+00,2.3658744614e+00,0.0000000000e+00,3.9912546236e+00,7.7438888282e+04,3.8797870136e+02,118
gpu,rotor,hllc,40,1.2004898374e-02,1.3465653576e-04,7.4263012510e+00,5.7160918844e+00,5.4593054582e+00,7.4263012510e+00,1.3301795148e+01,2.2726157534e-01,2.3970342358e+00,2.7761687326e-04,2.6058760635e+00,2.4295647714e+00,0.0000000000e+00,4.9703546527e+00,9.5888702697e+04,3.7723625762e+02,186
gpu,rotor,hllc,45,1.2654997813e-02,1.1920017342e-04,8.3892495397e+00,7.3035907210e+00,7.2279377120e+00,8.3892495397e+00,1.3635672932e+01,1.3669455562e-01,2.6392194414e+00,4.4674111962e-04,2.6269113821e+00,2.6028287227e+00,0.0000000000e+00,6.8453733521e+00,1.1538276401e+05,4.1040952794e+02,202
gpu,rotor,hllc,50,1.3216712031e-02,1.0952062427e-04,9.1307003285e+00,7.7142845936e+00,7.5365878505e+00,9.1307003285e+00,1.3966782911e+01,1.3194083835e-01,2.6039368144e+00,4.4674111962e-04,2.6437845841e+00,2.6734426854e+00,0.0000000000e+00,6.3831307171e+00,1.3526290991e+05,4.2342088058e+02,208
gpu,rotor,hllc,55,1.3784059724e-02,1.2069304040e-04,8.2854818859e+00,7.5190299608e+00,7.2896731422e+00,8.2854818859e+00,1.4295956993e+01,1.3577871863e-01,2.5734624561e+00,2.7373637053e-04,2.6535937165e+00,2.5082635058e+00,0.0000000000e+00,5.8489757259e+00,1.6129253295e+05,3.8646318661e+02,246
gpu,rotor,hllc,60,1.4356123027e-02,1.0573815421e-04,9.4573241562e+00,7.3856786196e+00,7.2060564475e+00,9.4573241562e+00,1.4595589688e+01,1.3142559553e-01,2.2937403310e+00,2.7373637053e-04,2.6627008300e+00,2.5737470943e+00,0.0000000000e+00,7.7662387005e+00,1.9256194240e+05,4.2187196380e+02,256
gpu,rotor,hllc,65,1.4870274469e-02,1.0563339300e-04,9.4667033936e+00,6.6406779178e+00,6.4462431300e+00,9.4667033936e+00,1.4804323050e+01,1.3719479894e-01,2.4278925322e+00,1.2503335635e-04,2.6675897699e+00,2.6695148373e+00,0.0000000000e+00,7.3313749555e+00,2.1981324170e+05,4.3130576751e+02,282
gpu,rotor,hllc,70,1.5431545333e-02,1.1706913888e-04,8.5419608412e+00,5.7435846936e+00,5.4539005517e+00,8.5419608412e+00,1.5045763459e+01,1.5685938646e-01,2.7246208000e+00,3.9785401745e-04,2.6919805602e+00,2.7927444443e+00,0.0000000000e+00,6.3382084960e+00,2.5241886568e+05,4.2704355974e+02,422
gpu,rotor,hllc,75,1.5971898724e-02,1.0834588733e-04,9.2296996647e+00,6.1975042095e+00,5.8429197756e+00,9.2296996647e+00,1.5341607609e+01,1.5496674832e-01,2.9495215080e+00,1.5378017375e-04,2.7152199472e+00,2.8546772620e+00,0.0000000000e+00,8.2411931059e+00,2.7723503733e+05,4.0086193318e+02,570
gpu,rotor,hllc,80,1.6486428131e-02,9.7584522947e-05,1.0247526655e+01,6.6885416595e+00,6.2989174901e+00,1.0247526655e+01,1.5531209208e+01,1.8471896854e-01,3.6613995054e+00,1.9628236595e-05,2.7589839495e+00,2.9329195468e+00,0.0000000000e+00,7.0810998762e+00,2.9835913180e+05,4.0046652308e+02,588
gpu,rotor,hllc,85,1.7010748284e-02,1.0426397281e-04,9.5910406353e+00,6.7754581494e+00,6.6934708131e+00,9.5910406353e+00,1.5656435282e+01,1.8854025494e-01,3.5867231811e+00,5.3426443228e-05,2.7995506088e+00,3.0236845872e+00,0.0000000000e+00,7.9053660153e+00,3.2189888699e+05,3.8910216350e+02,760
gpu,rotor,hllc,90,1.7515129869e-02,1.0370524629e-04,9.6427137082e+00,7.3458537704e+00,7.1847472583e+00,9.6427137082e+00,1.5869799487e+01,1.9627184252e-01,3.1063421739e+00,5.3426443228e-05,2.8620809282e+00,2.9510544402e+00,0.0000000000e+00,1.0186224588e+01,3.3838397312e+05,5.1472897022e+02,870
gpu,rotor,hllc,95,1.8014806212e-02,9.9757201262e-05,1.0024338968e+01,8.0809400579e+00,7.9632644896e+00,1.0024338968e+01,1.6128070736e+01,1.3247574879e-01,3.2156683710e+00,1.6168256040e-05,2.9162209293e+00,2.9428031617e+00,0.0000000000e+00,1.0866686306e+01,3.5498890773e+05,4.4001090672e+02,992
gpu,rotor,hllc,100,1.8519295722e-02,1.0421942044e-04,9.5951406733e+00,8.3811371122e+00,8.2249804002e+00,9.5951406733e+00,1.6369047737e+01,8.1445809886e-02,3.3805293825e+00,8.5288019655e-06,2.9972038439e+00,3.0592102781e+00,0.0000000000e+00,9.5977797206e+00,3.7350029457e+05,4.7749509883e+02,1116
gpu,rotor,hllc,105,1.9023770136e-02,9.3725770685e-05,1.0669424137e+01,8.6134222363e+00,8.4003378297e+00,1.0669424137e+01,1.6589676083e+01,7.8487722227e-02,3.8126453372e+00,5.3740808507e-06,3.0319033929e+00,3.1177477834e+00,0.0000000000e+00,1.0309690101e+01,3.8841159648e+05,4.7117516367e+02,1288
gpu,rotor,hllc,110,1.9491558423e-02,9.1368306342e-05,1.0944714202e+01,9.1050119216e+00,8.8381850880e+00,1.0944714202e+01,1.6780777489e+01,9.1213667615e-02,3.7981118333e+00,4.9291573577e-05,3.0098024080e+00,3.0078077476e+00,0.0000000000e+00,1.1543045036e+01,3.9524775313e+05,4.5249146952e+02,1410
gpu,rotor,hllc,115,1.9952899068e-02,9.7665265918e-05,1.0239054700e+01,9.1938033224e+00,8.9210920298e+00,1.0239054700e+01,1.6960050485e+01,7.7375907482e-02,4.1906780653e+00,6.2529134517e-05,3.0625265080e+00,2.9597142400e+00,0.0000000000e+00,1.1190116142e+01,4.0396880630e+05,4.1524763940e+02,1538
gpu,rotor,hllc,120,2.0446072308e-02,9.7402640433e-05,1.0266662131e+01,9.4514629780e+00,9.1638567724e+00,1.0266662131e+01,1.7109029225e+01,7.7045002822e-02,5.5638077192e+00,1.2480757922e-05,3.1703868795e+00,2.9527111058e+00,0.0000000000e+00,1.0883557059e+01,4.2274232325e+05,4.4205025454e+02,1650
gpu,rotor,hllc,125,2.0920796713e-02,9.1392501059e-05,1.0941816762e+01,9.8372874292e+00,9.7495890008e+00,1.0941816762e+01,1.7270409415e+01,7.3204989735e-02,5.2225730439e+00,1.2480757922e-05,3.2631331844e+00,2.9669700397e+00,0.0000000000e+00,1.0585396322e+01,4.3555287231e+05,4.6413653531e+02,1718
gpu,rotor,hllc,130,2.1371832598e-02,8.5991307186e-05,1.1629082436e+01,1.0410507856e+01,1.0331345790e+01,1.1629082436e+01,1.7477596329e+01,9.7423803372e-02,4.4102809165e+00,1.8182038226e-06,3.3161780956e+00,2.9703406059e+00,0.0000000000e+00,1.2124203360e+01,4.4498419833e+05,4.6666823310e+02,1792
gpu,rotor,hllc,135,2.1799938178e-02,8.5015753191e-05,1.1762525914e+01,1.0734861646e+01,1.0667786479e+01,1.1762525914e+01,1.7713968464e+01,9.7423803372e-02,5.1686830792e+00,1.8182038226e-06,3.3674704918e+00,3.0095888523e+00,0.0000000000e+00,1.3136547378e+01,4.5661551465e+05,5.5804273171e+02,1854
gpu,rotor,hllc,140,2.2219867784e-02,8.2707579683e-05,1.2090790274e+01,1.0921823183e+01,1.0814282374e+01,1.2090790274e+01,1.8191155296e+01,1.0560678761e-01,5.2770052284e+00,4.8642528229e-05,3.3712902956e+00,3.0518396371e+00,0.0000000000e+00,1.3983493360e+01,4.6653868621e+05,4.7867190357e+02,1912
