case,solver,arch_pair,field,max_abs,mean_abs,max_rel,l2_abs,result
orszag_tang,hlld,cpu-gpu,Bx,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,By,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,Bz,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,E,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,p,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,psi,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,rho,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,u,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,v,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,w,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,Bx,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,By,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,Bz,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,E,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,p,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,psi,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,rho,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,u,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,v,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,w,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,Bx,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,By,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,Bz,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,E,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,p,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,psi,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,rho,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,u,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,v,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-gpu,w,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,Bx,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,By,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,Bz,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,E,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,p,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,psi,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,rho,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,u,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,v,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,w,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,Bx,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,By,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,Bz,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,E,0.0,0.0,0.0,0.0,PASS
orszag_tang,hlld,cpu-mpi,p,0.0,0.0,0.0,0.0,PASS
