case,solver,arch,snapshot,nx,ny,dx,dy,n_interior,div_linf,div_l2,h_div_linf_over_b_linf,h_div_l2_over_b_l2
brio_wu,hlld,cpu,t0,800,4,0.00125,0.00125,1596,0.0,0.0,0.0,0.0
brio_wu,hlld,cpu,t10,800,4,0.00125,0.00125,1596,0.0,0.0,0.0,0.0
orszag_tang,hlld,cpu,t0,192,192,0.032724923474893676,0.032724923474893676,36100,0.0,0.0,0.0,0.0
orszag_tang,hlld,cpu,t2pi,192,192,0.032724923474893676,0.032724923474893676,36100,2.265764480096493,0.1280461163064239,0.03339494591762196,0.0037893099670825215
orszag_tang,hlld,cpu,tpi,192,192,0.032724923474893676,0.032724923474893676,36100,3.439835676325294,0.1552872675096962,0.040248627334738,0.0041668440072786155
rotor,hlld,cpu,t0,400,400,0.0025,0.0025,158404,0.0,0.0,0.0,0.0
rotor,hlld,cpu,t15,400,400,0.0025,0.0025,158404,31.323765500596252,0.6797444202942164,0.03460577304731168,0.0011304090867743006
brio_wu,hlld,gpu,t0,800,4,0.00125,0.00125,1596,0.0,0.0,0.0,0.0
brio_wu,hlld,gpu,t10,800,4,0.00125,0.00125,1596,0.0,0.0,0.0,0.0
orszag_tang,hlld,gpu,t0,192,192,0.032724923474893676,0.032724923474893676,36100,0.0,0.0,0.0,0.0
orszag_tang,hlld,gpu,t2pi,192,192,0.032724923474893676,0.032724923474893676,36100,2.265764480096493,0.1280461163064239,0.03339494591762196,0.0037893099670825215
orszag_tang,hlld,gpu,tpi,192,192,0.032724923474893676,0.032724923474893676,36100,3.439835676325294,0.1552872675096962,0.040248627334738,0.0041668440072786155
rotor,hlld,gpu,t0,400,400,0.0025,0.0025,158404,0.0,0.0,0.0,0.0
rotor,hlld,gpu,t15,400,400,0.0025,0.0025,158404,31.323765500596252,0.6797444202942164,0.03460577304731168,0.0011304090867743006
brio_wu,hlld,mpi,t0,800,4,0.00125,0.00125,1596,0.0,0.0,0.0,0.0
brio_wu,hlld,mpi,t10,800,4,0.00125,0.00125,1596,0.0,0.0,0.0,0.0
orszag_tang,hlld,mpi,t0,192,192,0.032724923474893676,0.032724923474893676,36100,0.0,0.0,0.0,0.0
orszag_tang,hlld,mpi,t2pi,192,192,0.032724923474893676,0.032724923474893676,36100,2.265764480096493,0.1280461163064239,0.03339494591762196,0.0037893099670825215
orszag_tang,hlld,mpi,tpi,192,192,0.032724923474893676,0.032724923474893676,36100,3.439835676325294,0.1552872675096962,0.040248627334738,0.0041668440072786155
rotor,hlld,mpi,t0,400,400,0.0025,0.0025,158404,0.0,0.0,0.0,0.0
rotor,hlld,mpi,t15,400,400,0.0025,0.0025,158404,31.323765500596252,0.6797444202942164,0.03460577304731168,0.0011304090867743006
