experiment,source_job_task,source_job_id,array_task_id,source_file,is_canonical,backend,case,solver,n,repeat,repeats_requested,build_variant,threads,ranks,nx,ny,total_cells,steps,app_elapsed_s,steps_per_s,Mcell_updates_s,wall_seconds,user_seconds,sys_seconds,cpu_percent,max_rss_kb,major_page_faults,minor_page_faults,voluntary_context_switches,involuntary_context_switches,start_utc,end_utc,exit_status,hostname,git_branch,git_commit
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,blast_wave,force,1,1,3,repository_default_openmp,76,0,500,500,250000,2300,4.9660,463.15,115.8,5.026253824,375.25,0.20,7522%,146864,53,4520,147,3384,2026-07-26T22:19:34.994840393+00:00,2026-07-26T22:19:40.024065609+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,blast_wave,force,1,2,3,repository_default_openmp,76,0,500,500,250000,2300,5.2078,441.64,110.4,5.254502912,393.64,0.13,7523%,148816,63,4970,166,3437,2026-07-26T22:19:40.071114536+00:00,2026-07-26T22:19:45.328721359+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,blast_wave,force,1,3,3,repository_default_openmp,76,0,500,500,250000,2300,5.0434,456.04,114.0,5.098100224,380.32,0.14,7504%,146668,50,4471,223,3407,2026-07-26T22:19:45.376267828+00:00,2026-07-26T22:19:50.477639144+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,blast_wave,force,2,1,3,repository_default_openmp,76,0,1000,1000,1000000,4697,84.6094,55.51,55.5,84.732886784,6381.08,1.05,7534%,570460,32,4599,964,51158,2026-07-26T22:22:39.967461617+00:00,2026-07-26T22:24:04.703474104+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,blast_wave,force,2,2,3,repository_default_openmp,76,0,1000,1000,1000000,4697,86.6654,54.20,54.2,86.794366720,6536.28,1.12,7535%,570436,58,4586,1169,55193,2026-07-26T22:24:04.750925901+00:00,2026-07-26T22:25:31.548501040+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,blast_wave,force,2,3,3,repository_default_openmp,76,0,1000,1000,1000000,4697,84.4654,55.61,55.6,84.720468480,6370.37,1.12,7534%,570464,53,5101,881,53833,2026-07-26T22:25:31.596860797+00:00,2026-07-26T22:26:56.320396818+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,blast_wave,force,4,1,1,repository_default_openmp,76,0,2000,2000,4000000,9590,808.9775,11.85,47.4,809.380443392,61072.32,7.04,7546%,2262952,72,5216,119129,467014,2026-07-26T22:41:43.075459911+00:00,2026-07-26T22:55:12.458843225+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,1,1,3,repository_default_openmp,76,0,500,500,250000,2276,6.0836,374.12,93.5,6.164746752,458.04,0.18,7470%,146600,25,4485,187,3933,2026-07-26T07:02:55.520487132+00:00,2026-07-26T07:03:01.694780783+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,1,2,3,repository_default_openmp,76,0,500,500,250000,2276,5.7875,393.26,98.3,5.878330624,435.72,0.14,7462%,146856,37,4964,203,3790,2026-07-26T07:03:01.865722359+00:00,2026-07-26T07:03:07.755030039+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,1,3,3,repository_default_openmp,76,0,500,500,250000,2276,6.1166,372.10,93.0,6.188758016,460.06,0.19,7462%,146756,38,4448,614,3876,2026-07-26T07:03:07.931045578+00:00,2026-07-26T07:03:14.128406090+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32176122_0,32176122,0,32176122_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,blast_wave,hll,1,1,3,repository_default_openmp,76,0,500,500,250000,2276,4.2659,533.53,133.4,4.325645056,322.22,0.11,7510%,146820,4,5003,80,2685,2026-07-26T20:18:41.525201805+00:00,2026-07-26T20:18:45.854085267+00:00,0,cpu-q-188,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32176122_0,32176122,0,32176122_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,blast_wave,hll,1,2,3,repository_default_openmp,76,0,500,500,250000,2276,4.5951,495.32,123.8,4.659225088,346.11,0.08,7491%,146848,30,4481,340,3430,2026-07-26T20:18:45.900925181+00:00,2026-07-26T20:18:50.563178019+00:00,0,cpu-q-188,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32176122_0,32176122,0,32176122_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,blast_wave,hll,1,3,3,repository_default_openmp,76,0,500,500,250000,2276,4.2108,540.52,135.1,4.259010816,318.06,0.13,7509%,146896,59,4428,147,2828,2026-07-26T20:18:50.609206483+00:00,2026-07-26T20:18:54.871379374+00:00,0,cpu-q-188,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,2,1,3,repository_default_openmp,76,0,1000,1000,1000000,4653,88.5839,52.53,52.5,88.762572288,6683.07,1.04,7534%,570508,31,5103,865,54678,2026-07-26T07:06:09.052602962+00:00,2026-07-26T07:07:37.827477493+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,2,2,3,repository_default_openmp,76,0,1000,1000,1000000,4653,89.1147,52.21,52.2,89.268274432,6723.83,0.97,7536%,570572,31,5111,867,51908,2026-07-26T07:07:37.996784925+00:00,2026-07-26T07:09:07.277509639+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,2,3,3,repository_default_openmp,76,0,1000,1000,1000000,4653,89.4569,52.01,52.0,89.628333312,6742.90,0.97,7528%,570452,7,5126,2141,56873,2026-07-26T07:09:07.443748083+00:00,2026-07-26T07:10:37.084649674+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32176122_0,32176122,0,32176122_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,blast_wave,hll,2,1,3,repository_default_openmp,76,0,1000,1000,1000000,4653,84.0482,55.36,55.4,84.213764608,6341.04,0.82,7537%,570228,83,4532,867,51482,2026-07-26T20:21:21.767224382+00:00,2026-07-26T20:22:45.984252859+00:00,0,cpu-q-188,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
