experiment,source_job_task,source_job_id,array_task_id,source_file,is_canonical,backend,case,solver,n,repeat,repeats_requested,build_variant,threads,ranks,nx,ny,total_cells,steps,app_elapsed_s,steps_per_s,Mcell_updates_s,wall_seconds,user_seconds,sys_seconds,cpu_percent,max_rss_kb,major_page_faults,minor_page_faults,voluntary_context_switches,involuntary_context_switches,start_utc,end_utc,exit_status,hostname,git_branch,git_commit
mhd,31917912_3,31917912,3,31917912_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,orszag_tang,force,1,1,3,repository_default_openmp,76,0,192,192,36864,1251,0.7455,1678.17,61.9,0.770806784,56.43,0.09,7496%,28596,33,5024,51,507,2026-07-23T02:59:16.779097702+00:00,2026-07-23T02:59:17.552889620+00:00,0,cpu-q-240,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31917912_3,31917912,3,31917912_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,orszag_tang,force,1,2,3,repository_default_openmp,76,0,192,192,36864,1251,0.7510,1665.82,61.4,0.772132096,56.84,0.11,7504%,28316,23,4913,38,553,2026-07-23T02:59:18.391758224+00:00,2026-07-23T02:59:19.166866205+00:00,0,cpu-q-240,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31917912_3,31917912,3,31917912_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,orszag_tang,force,1,3,3,repository_default_openmp,76,0,192,192,36864,1251,0.7723,1619.80,59.7,0.804227072,58.49,0.06,7507%,26420,18,4468,29,539,2026-07-23T02:59:19.213302227+00:00,2026-07-23T02:59:20.020718809+00:00,0,cpu-q-240,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31917912_3,31917912,3,31917912_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,orszag_tang,force,2,1,3,repository_default_openmp,76,0,384,384,147456,2587,3.6648,705.90,104.1,3.737819136,277.51,0.05,7530%,89132,52,4295,136,2510,2026-07-23T02:59:22.727486710+00:00,2026-07-23T02:59:26.468374734+00:00,0,cpu-q-240,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31917912_3,31917912,3,31917912_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,orszag_tang,force,2,2,3,repository_default_openmp,76,0,384,384,147456,2587,3.7051,698.23,103.0,3.747563264,280.56,0.05,7533%,89028,22,4288,106,2649,2026-07-23T02:59:26.513313992+00:00,2026-07-23T02:59:30.264023985+00:00,0,cpu-q-240,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31917912_3,31917912,3,31917912_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,orszag_tang,force,2,3,3,repository_default_openmp,76,0,384,384,147456,2587,3.7107,697.17,102.8,3.751730944,280.50,0.08,7520%,89240,43,4286,346,2634,2026-07-23T02:59:30.310586348+00:00,2026-07-23T02:59:34.065423854+00:00,0,cpu-q-240,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31917912_3,31917912,3,31917912_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,orszag_tang,force,4,1,1,repository_default_openmp,76,0,768,768,589824,5329,42.2344,126.18,74.4,42.340819200,3182.41,0.79,7524%,339108,37,4455,5023,26677,2026-07-23T03:00:06.737151297+00:00,2026-07-23T03:00:49.081243119+00:00,0,cpu-q-240,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31917912_3,31917912,3,31917912_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,orszag_tang,force,8,1,1,repository_default_openmp,76,0,1536,1536,2359296,10935,526.5475,20.77,49.0,526.851893760,39702.94,5.39,7537%,1339688,57,5584,8935,330243,2026-07-23T03:02:51.283827694+00:00,2026-07-23T03:11:38.138912776+00:00,0,cpu-q-240,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31918140_0,31918140,0,31918140_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,orszag_tang,hll,1,1,3,repository_default_openmp,76,0,192,192,36864,1231,0.6987,1761.86,64.9,0.722050816,52.89,0.09,7483%,26160,15,4403,31,453,2026-07-23T01:26:05.072996438+00:00,2026-07-23T01:26:05.798332176+00:00,0,cpu-q-494,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31918140_0,31918140,0,31918140_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,orszag_tang,hll,1,2,3,repository_default_openmp,76,0,192,192,36864,1231,0.7475,1646.77,60.7,0.767925760,56.05,0.01,7426%,26284,20,4380,105,509,2026-07-23T01:26:06.995392519+00:00,2026-07-23T01:26:07.766414919+00:00,0,cpu-q-494,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31918140_0,31918140,0,31918140_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,orszag_tang,hll,1,3,3,repository_default_openmp,76,0,192,192,36864,1231,0.7019,1753.92,64.7,0.726971904,53.19,0.01,7504%,26424,30,4367,33,536,2026-07-23T01:26:07.812891672+00:00,2026-07-23T01:26:08.543083605+00:00,0,cpu-q-494,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31918140_0,31918140,0,31918140_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,orszag_tang,hll,2,1,3,repository_default_openmp,76,0,384,384,147456,2557,3.3533,762.54,112.4,3.394163968,253.90,0.07,7529%,88996,26,4245,109,2535,2026-07-23T01:26:10.951832787+00:00,2026-07-23T01:26:14.348984525+00:00,0,cpu-q-494,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31918140_0,31918140,0,31918140_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,orszag_tang,hll,2,2,3,repository_default_openmp,76,0,384,384,147456,2557,3.3381,766.00,113.0,3.375555328,252.40,0.12,7520%,89320,16,4838,324,2530,2026-07-23T01:26:14.395545516+00:00,2026-07-23T01:26:17.774404102+00:00,0,cpu-q-494,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31918140_0,31918140,0,31918140_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,orszag_tang,hll,2,3,3,repository_default_openmp,76,0,384,384,147456,2557,3.2889,777.45,114.6,3.437549312,248.98,0.11,7525%,89192,23,4306,101,2303,2026-07-23T01:26:17.821425047+00:00,2026-07-23T01:26:21.262221493+00:00,0,cpu-q-494,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31918140_0,31918140,0,31918140_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,orszag_tang,hll,4,1,1,repository_default_openmp,76,0,768,768,589824,5261,41.3497,127.23,75.0,41.458641920,3113.10,0.78,7517%,339160,57,4929,5247,26039,2026-07-23T01:26:53.204148917+00:00,2026-07-23T01:27:34.665834930+00:00,0,cpu-q-494,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31918140_0,31918140,0,31918140_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,orszag_tang,hll,8,1,1,repository_default_openmp,76,0,1536,1536,2359296,10820,519.0828,20.84,49.2,519.384260864,39135.01,5.15,7536%,1339444,39,5093,7727,315970,2026-07-23T01:29:34.429391183+00:00,2026-07-23T01:38:13.816731047+00:00,0,cpu-q-494,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31921281_1,31921281,1,31921281_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,orszag_tang,hllc,1,1,3,repository_default_openmp,76,0,192,192,36864,1264,0.8882,1423.17,52.5,0.955086080,67.25,0.06,7479%,26164,23,5033,65,713,2026-07-23T01:55:39.484483191+00:00,2026-07-23T01:55:40.442576749+00:00,0,cpu-q-130,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31921281_1,31921281,1,31921281_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,orszag_tang,hllc,1,2,3,repository_default_openmp,76,0,192,192,36864,1264,0.8433,1498.96,55.3,0.864630784,63.92,0.01,7504%,26552,23,5023,42,596,2026-07-23T01:55:41.607183328+00:00,2026-07-23T01:55:42.474889123+00:00,0,cpu-q-130,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31921281_1,31921281,1,31921281_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,orszag_tang,hllc,1,3,3,repository_default_openmp,76,0,192,192,36864,1264,0.8489,1488.99,54.9,0.874361344,64.29,0.09,7504%,26168,50,4938,69,593,2026-07-23T01:55:42.522654850+00:00,2026-07-23T01:55:43.400288996+00:00,0,cpu-q-130,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31921281_1,31921281,1,31921281_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,orszag_tang,hllc,2,1,3,repository_default_openmp,76,0,384,384,147456,2626,4.0537,647.80,95.5,4.140948480,305.99,0.18,7515%,89008,30,4844,272,3263,2026-07-23T01:55:46.512534910+00:00,2026-07-23T01:55:50.656526924+00:00,0,cpu-q-130,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31921281_1,31921281,1,31921281_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,orszag_tang,hllc,2,2,3,repository_default_openmp,76,0,384,384,147456,2626,3.9609,662.98,97.8,4.129762816,299.94,0.11,7535%,89408,48,4766,159,2341,2026-07-23T01:55:50.702128785+00:00,2026-07-23T01:55:54.835103714+00:00,0,cpu-q-130,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31921281_1,31921281,1,31921281_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,orszag_tang,hllc,2,3,3,repository_default_openmp,76,0,384,384,147456,2626,3.9768,660.34,97.4,4.023260672,301.11,0.12,7536%,89208,56,4283,168,2620,2026-07-23T01:55:54.880399701+00:00,2026-07-23T01:55:58.906925287+00:00,0,cpu-q-130,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31921281_1,31921281,1,31921281_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,orszag_tang,hllc,4,1,1,repository_default_openmp,76,0,768,768,589824,5421,45.4973,119.15,70.3,45.608600320,3425.65,0.87,7519%,339276,40,4490,5255,29092,2026-07-23T01:56:33.854402525+00:00,2026-07-23T01:57:19.466320918+00:00,0,cpu-q-130,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31921281_1,31921281,1,31921281_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,orszag_tang,hllc,8,1,1,repository_default_openmp,76,0,1536,1536,2359296,11093,538.1919,20.61,48.6,538.498423808,40572.56,5.60,7535%,1338420,258,5826,9248,340646,2026-07-23T01:59:26.394107904+00:00,2026-07-23T02:08:24.895831401+00:00,0,cpu-q-130,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31923791_2,31923791,2,31923791_2/cpu_openmp/cpu_openmp_hlld.csv,1,cpu_openmp,orszag_tang,hlld,1,1,3,repository_default_openmp,76,0,192,192,36864,1280,0.8814,1452.17,53.5,0.922127104,66.76,0.09,7512%,26448,39,5147,64,507,2026-07-23T02:27:04.734947048+00:00,2026-07-23T02:27:05.660177126+00:00,0,cpu-q-130,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
mhd,31923791_2,31923791,2,31923791_2/cpu_openmp/cpu_openmp_hlld.csv,1,cpu_openmp,orszag_tang,hlld,1,2,3,repository_default_openmp,76,0,192,192,36864,1280,0.8922,1434.68,52.9,0.915568128,67.49,0.16,7509%,26164,67,5022,96,602,2026-07-23T02:27:06.741361709+00:00,2026-07-23T02:27:07.659904641+00:00,0,cpu-q-130,final_version,d6a3289d2ea4e6cb69616ff596d3942e80ab2a4f
