experiment,case,solver,backend,n,nx,ny,total_cells,steps,samples,median_wall_seconds,minimum_wall_seconds,maximum_wall_seconds
euler,blast_wave,force,cpu_openmp,1,500,500,250000,2300,3,5.098100224,5.026253824,5.254502912
euler,blast_wave,force,cpu_openmp,2,1000,1000,1000000,4697,3,84.732886784,84.720468480,86.794366720
euler,blast_wave,force,cpu_openmp,4,2000,2000,4000000,9590,1,809.380443392,809.380443392,809.380443392
euler,blast_wave,force,gpu,1,500,500,250000,2300,3,1.347506432,1.329377792,1.363211776
euler,blast_wave,force,gpu,2,1000,1000,1000000,4697,3,5.195732480,5.189438720,5.214939648
euler,blast_wave,force,gpu,4,2000,2000,4000000,9590,1,34.355921152,34.355921152,34.355921152
euler,blast_wave,force,gpu,8,4000,4000,16000000,19434,1,266.585596672,266.585596672,266.585596672
euler,blast_wave,force,mpi,1,500,500,250000,2300,3,11.394124032,10.713323008,11.798227200
euler,blast_wave,force,mpi,2,1000,1000,1000000,4697,3,60.473132544,60.363109888,60.838337536
euler,blast_wave,force,mpi,4,2000,2000,4000000,9590,1,467.052105216,467.052105216,467.052105216
euler,blast_wave,hll,cpu_openmp,1,500,500,250000,2276,3,4.325645056,4.259010816,4.659225088
euler,blast_wave,hll,cpu_openmp,2,1000,1000,1000000,4653,3,84.561471488,84.213764608,84.787313664
euler,blast_wave,hll,cpu_openmp,4,2000,2000,4000000,9508,1,795.023109376,795.023109376,795.023109376
euler,blast_wave,hll,gpu,1,500,500,250000,2276,3,1.324454656,1.323587072,1.326551296
euler,blast_wave,hll,gpu,2,1000,1000,1000000,4653,3,4.909939712,4.891036672,4.914362368
euler,blast_wave,hll,gpu,4,2000,2000,4000000,9508,1,32.036475904,32.036475904,32.036475904
euler,blast_wave,hll,gpu,8,4000,4000,16000000,19350,1,249.171960832,249.171960832,249.171960832
euler,blast_wave,hll,mpi,1,500,500,250000,2276,3,10.126927360,9.824630784,10.240737280
euler,blast_wave,hll,mpi,2,1000,1000,1000000,4653,3,51.789796096,50.707478016,52.237928704
euler,blast_wave,hll,mpi,4,2000,2000,4000000,9508,1,393.611588864,393.611588864,393.611588864
euler,blast_wave,hllc,cpu_openmp,1,500,500,250000,2334,3,5.322605312,5.071534592,5.375397120
euler,blast_wave,hllc,cpu_openmp,2,1000,1000,1000000,4766,3,86.741239808,86.291383552,87.026773760
euler,blast_wave,hllc,cpu_openmp,4,2000,2000,4000000,9751,1,821.915976192,821.915976192,821.915976192
euler,blast_wave,hllc,gpu,1,500,500,250000,2334,3,1.731124992,1.718471424,1.741019904
euler,blast_wave,hllc,gpu,2,1000,1000,1000000,4766,3,7.899209216,7.885099520,8.098431744
euler,blast_wave,hllc,gpu,4,2000,2000,4000000,9751,1,55.756812544,55.756812544,55.756812544
euler,blast_wave,hllc,gpu,8,4000,4000,16000000,19905,1,441.461884928,441.461884928,441.461884928
euler,blast_wave,hllc,mpi,1,500,500,250000,2334,3,10.487803136,10.410485760,10.706163968
euler,blast_wave,hllc,mpi,2,1000,1000,1000000,4766,3,55.379187456,55.350256896,59.276613632
euler,blast_wave,hllc,mpi,4,2000,2000,4000000,9751,1,441.332359168,441.332359168,441.332359168
euler,blast_wave,hlld,cpu_openmp,1,500,500,250000,2334,3,5.484700928,5.351509248,5.557436160
euler,blast_wave,hlld,cpu_openmp,2,1000,1000,1000000,4765,3,89.792542720,89.551200512,90.188108544
euler,blast_wave,hlld,cpu_openmp,4,2000,2000,4000000,9751,1,815.691119104,815.691119104,815.691119104
euler,blast_wave,hlld,gpu,1,500,500,250000,2334,3,1.670783488,1.669893376,1.682993664
euler,blast_wave,hlld,gpu,2,1000,1000,1000000,4765,3,7.390625280,7.388018688,7.420784640
euler,blast_wave,hlld,gpu,4,2000,2000,4000000,9751,1,51.916530176,51.916530176,51.916530176
euler,blast_wave,hlld,gpu,8,4000,4000,16000000,19904,1,410.428727296,410.428727296,410.428727296
euler,blast_wave,hlld,mpi,1,500,500,250000,2334,3,14.414628096,13.589391104,15.653423360
