experiment,case,solver,backend,n,nx,ny,total_cells,steps,samples,median_wall_seconds,minimum_wall_seconds,maximum_wall_seconds
mhd,orszag_tang,force,cpu_openmp,1,192,192,36864,1251,3,0.772132096,0.770806784,0.804227072
mhd,orszag_tang,force,cpu_openmp,2,384,384,147456,2587,3,3.747563264,3.737819136,3.751730944
mhd,orszag_tang,force,cpu_openmp,4,768,768,589824,5329,1,42.340819200,42.340819200,42.340819200
mhd,orszag_tang,force,cpu_openmp,8,1536,1536,2359296,10935,1,526.851893760,526.851893760,526.851893760
mhd,orszag_tang,force,gpu,1,192,192,36864,1251,3,0.737964800,0.726165248,0.747113984
mhd,orszag_tang,force,gpu,2,384,384,147456,2587,3,1.141093120,1.127740672,1.165136896
mhd,orszag_tang,force,gpu,4,768,768,589824,5329,1,3.628080128,3.628080128,3.628080128
mhd,orszag_tang,force,gpu,8,1536,1536,2359296,10935,1,21.707472128,21.707472128,21.707472128
mhd,orszag_tang,force,mpi,1,192,192,36864,1251,3,5.614389760,5.597560832,6.043506688
mhd,orszag_tang,force,mpi,2,384,384,147456,2587,3,8.760703232,8.666184448,9.284409600
mhd,orszag_tang,force,mpi,4,768,768,589824,5329,1,40.850027776,40.850027776,40.850027776
mhd,orszag_tang,force,mpi,8,1536,1536,2359296,10935,1,301.767013632,301.767013632,301.767013632
mhd,orszag_tang,hll,cpu_openmp,1,192,192,36864,1231,3,0.726971904,0.722050816,0.767925760
mhd,orszag_tang,hll,cpu_openmp,2,384,384,147456,2557,3,3.394163968,3.375555328,3.437549312
mhd,orszag_tang,hll,cpu_openmp,4,768,768,589824,5261,1,41.458641920,41.458641920,41.458641920
mhd,orszag_tang,hll,cpu_openmp,8,1536,1536,2359296,10820,1,519.384260864,519.384260864,519.384260864
mhd,orszag_tang,hll,gpu,1,192,192,36864,1231,3,0.986439168,0.959832064,1.002011648
mhd,orszag_tang,hll,gpu,2,384,384,147456,2557,3,1.428108288,1.414467584,1.434615808
mhd,orszag_tang,hll,gpu,4,768,768,589824,5261,1,3.471601152,3.471601152,3.471601152
mhd,orszag_tang,hll,gpu,8,1536,1536,2359296,10820,1,20.162491392,20.162491392,20.162491392
mhd,orszag_tang,hll,mpi,1,192,192,36864,1231,3,6.387156736,6.122616576,7.513398784
mhd,orszag_tang,hll,mpi,2,384,384,147456,2557,3,8.488547328,8.155631104,9.953127936
mhd,orszag_tang,hll,mpi,4,768,768,589824,5261,1,35.719777024,35.719777024,35.719777024
mhd,orszag_tang,hll,mpi,8,1536,1536,2359296,10820,1,273.284672768,273.284672768,273.284672768
mhd,orszag_tang,hllc,cpu_openmp,1,192,192,36864,1264,3,0.874361344,0.864630784,0.955086080
mhd,orszag_tang,hllc,cpu_openmp,2,384,384,147456,2626,3,4.129762816,4.023260672,4.140948480
mhd,orszag_tang,hllc,cpu_openmp,4,768,768,589824,5421,1,45.608600320,45.608600320,45.608600320
mhd,orszag_tang,hllc,cpu_openmp,8,1536,1536,2359296,11093,1,538.498423808,538.498423808,538.498423808
mhd,orszag_tang,hllc,gpu,1,192,192,36864,1264,3,1.103280384,0.966770432,1.206441984
mhd,orszag_tang,hllc,gpu,2,384,384,147456,2626,3,1.415807488,1.415577088,1.432652800
mhd,orszag_tang,hllc,gpu,4,768,768,589824,5421,1,5.248928256,5.248928256,5.248928256
mhd,orszag_tang,hllc,gpu,8,1536,1536,2359296,11093,1,34.019646464,34.019646464,34.019646464
mhd,orszag_tang,hllc,mpi,1,192,192,36864,1264,3,5.864006656,5.818305792,7.883948800
mhd,orszag_tang,hllc,mpi,2,384,384,147456,2626,3,10.219781888,10.030318848,10.673709568
mhd,orszag_tang,hllc,mpi,4,768,768,589824,5421,1,43.853114624,43.853114624,43.853114624
mhd,orszag_tang,hllc,mpi,8,1536,1536,2359296,11093,1,324.790881536,324.790881536,324.790881536
mhd,orszag_tang,hlld,cpu_openmp,1,192,192,36864,1280,3,0.915568128,0.880826624,0.922127104
mhd,orszag_tang,hlld,cpu_openmp,2,384,384,147456,2645,3,4.693673728,4.675870720,4.695440640
mhd,orszag_tang,hlld,cpu_openmp,4,768,768,589824,5419,1,49.372881152,49.372881152,49.372881152
mhd,orszag_tang,hlld,cpu_openmp,8,1536,1536,2359296,11108,1,543.756651520,543.756651520,543.756651520
mhd,orszag_tang,hlld,gpu,1,192,192,36864,1280,3,0.627288320,0.624617984,0.635562496
mhd,orszag_tang,hlld,gpu,2,384,384,147456,2645,3,1.320821504,1.309873920,1.322222592
mhd,orszag_tang,hlld,gpu,4,768,768,589824,5419,1,5.927585280,5.927585280,5.927585280
mhd,orszag_tang,hlld,gpu,8,1536,1536,2359296,11108,1,38.021434880,38.021434880,38.021434880
mhd,orszag_tang,hlld,mpi,1,192,192,36864,1280,3,6.589493504,6.239439360,6.632182784
mhd,orszag_tang,hlld,mpi,2,384,384,147456,2645,3,11.809303040,11.743734016,11.936206080
mhd,orszag_tang,hlld,mpi,4,768,768,589824,5419,1,55.388487168,55.388487168,55.388487168
mhd,orszag_tang,hlld,mpi,8,1536,1536,2359296,11108,1,429.012792320,429.012792320,429.012792320
mhd,rotor,force,cpu_openmp,1,400,400,160000,531,3,0.832711424,0.820341504,0.858284032
mhd,rotor,force,cpu_openmp,2,800,800,640000,1113,3,10.826439424,10.776584704,10.869001216
mhd,rotor,force,cpu_openmp,4,1600,1600,2560000,2291,1,122.104857600,122.104857600,122.104857600
mhd,rotor,force,cpu_openmp,8,3200,3200,10240000,4671,1,1048.502742784,1048.502742784,1048.502742784
mhd,rotor,force,gpu,1,400,400,160000,531,3,0.719472128,0.717491456,0.721743616
mhd,rotor,force,gpu,2,800,800,640000,1113,3,1.307820288,1.258906880,1.356547328
mhd,rotor,force,gpu,4,1600,1600,2560000,2291,1,5.435938048,5.435938048,5.435938048
mhd,rotor,force,gpu,8,3200,3200,10240000,4671,1,38.281715456,38.281715456,38.281715456
mhd,rotor,force,mpi,1,400,400,160000,531,3,6.110981120,6.084119040,6.352013056
mhd,rotor,force,mpi,2,800,800,640000,1113,3,12.731378432,12.536387840,12.820034304
mhd,rotor,force,mpi,4,1600,1600,2560000,2291,1,71.956836352,71.956836352,71.956836352
mhd,rotor,force,mpi,8,3200,3200,10240000,4671,1,545.341276416,545.341276416,545.341276416
mhd,rotor,hll,cpu_openmp,1,400,400,160000,512,3,0.733383168,0.730253568,0.751078400
mhd,rotor,hll,cpu_openmp,2,800,800,640000,1088,3,10.486754560,10.411839232,10.847416576
mhd,rotor,hll,cpu_openmp,4,1600,1600,2560000,2259,1,119.670813696,119.670813696,119.670813696
mhd,rotor,hll,cpu_openmp,8,3200,3200,10240000,4627,1,1025.132398592,1025.132398592,1025.132398592
mhd,rotor,hll,gpu,1,400,400,160000,512,3,1.010258432,0.997998336,1.013376512
mhd,rotor,hll,gpu,2,800,800,640000,1088,3,1.515081984,1.430737920,1.560980224
mhd,rotor,hll,gpu,4,1600,1600,2560000,2259,1,5.118748672,5.118748672,5.118748672
mhd,rotor,hll,gpu,8,3200,3200,10240000,4627,1,35.368238592,35.368238592,35.368238592
mhd,rotor,hll,mpi,1,400,400,160000,512,3,7.832668928,7.490776832,11.510916352
mhd,rotor,hll,mpi,2,800,800,640000,1088,3,12.052128256,11.972732672,12.481118208
mhd,rotor,hll,mpi,4,1600,1600,2560000,2259,1,64.733779712,64.733779712,64.733779712
mhd,rotor,hll,mpi,8,3200,3200,10240000,4627,1,506.172096000,506.172096000,506.172096000
mhd,rotor,hllc,cpu_openmp,1,400,400,160000,565,3,0.972707328,0.966160384,0.977405440
mhd,rotor,hllc,cpu_openmp,2,800,800,640000,1157,3,11.596692992,11.553193728,11.599956992
mhd,rotor,hllc,cpu_openmp,4,1600,1600,2560000,2349,1,126.830091520,126.830091520,126.830091520
mhd,rotor,hllc,cpu_openmp,8,3200,3200,10240000,4748,1,1076.578992640,1076.578992640,1076.578992640
mhd,rotor,hllc,gpu,1,400,400,160000,565,3,1.009326848,0.992728832,1.026141184
mhd,rotor,hllc,gpu,2,800,800,640000,1157,3,1.946870016,1.795044864,1.962376704
mhd,rotor,hllc,gpu,4,1600,1600,2560000,2349,1,8.566757888,8.566757888,8.566757888
mhd,rotor,hllc,gpu,8,3200,3200,10240000,4748,1,62.995267072,62.995267072,62.995267072
mhd,rotor,hllc,mpi,1,400,400,160000,565,3,8.029646080,7.694114048,15.179702528
mhd,rotor,hllc,mpi,2,800,800,640000,1157,3,13.896569088,13.876703488,14.129725440
mhd,rotor,hllc,mpi,4,1600,1600,2560000,2349,1,80.915665664,80.915665664,80.915665664
mhd,rotor,hllc,mpi,8,3200,3200,10240000,4748,1,589.174172160,589.174172160,589.174172160
mhd,rotor,hlld,cpu_openmp,1,400,400,160000,561,3,1.089917696,1.069547776,1.117381632
mhd,rotor,hlld,cpu_openmp,2,800,800,640000,1155,3,12.603760640,12.529586432,12.693954560
mhd,rotor,hlld,cpu_openmp,4,1600,1600,2560000,2348,1,131.925697280,131.925697280,131.925697280
