architecture,case,solver,n,nx,ny,steps,openmp_samples,openmp_median_wall_s,openmp_min_wall_s,openmp_max_wall_s,mpi_samples,mpi_median_wall_s,mpi_min_wall_s,mpi_max_wall_s,gpu_samples,gpu_median_wall_s,gpu_min_wall_s,gpu_max_wall_s,gpu_median_app_s,gpu_median_Mcell_s,gpu_speedup_vs_openmp,gpu_speedup_vs_mpi,mpi_speedup_vs_openmp,omp_job,mpi_job,gpu_job
pure_euler,shock_bubble,hll,1,500,197,6431,5,4.534756352,4.500735744,4.695903488,5,7.210714368,7.081847808,7.224750848,5,1.187085568,1.144938240,1.388441344,0.582315900,1087.817626137,3.820075380,6.074300423,0.628891414,32221395,32221396,32221397
pure_euler,shock_bubble,hll,2,1000,394,13552,5,22.695000064,22.541833216,24.196433920,5,24.317628928,23.812583680,29.403334144,5,3.211620096,3.204379904,3.283695360,2.588743000,2062.579406299,7.066526982,7.571763845,0.933273558,32221395,32221396,32221397
pure_euler,shock_bubble,hll,4,2000,788,28196,3,417.946102272,417.003417600,420.301011200,3,208.579902976,207.251593984,209.947722752,3,16.868039936,16.836858112,16.871751680,16.187040000,2745.214443159,24.777395824,12.365390630,2.003769761,32221395,32221396,32221397
pure_euler,shock_bubble,hll,8,4000,1576,57932,0,,,,0,,,,3,119.186298880,119.160882688,119.266964224,118.397800000,3084.544881746,,,,32221395,32221396,32221397
pure_euler,shock_bubble,hllc,1,500,197,7008,5,5.110597376,5.044069632,5.147535360,5,9.560631040,8.432622336,13.481132288,5,1.320088320,1.156641024,1.447647744,0.680506200,1014.374299602,3.871405647,7.242417719,0.534546031,32221395,32221396,32221397
pure_euler,shock_bubble,hllc,2,1000,394,14399,5,26.455690752,26.220882688,26.829464320,5,28.210225664,27.447778304,29.414054912,5,3.514674176,3.479207424,3.634217472,2.976466000,1906.020764222,7.527210042,8.026412763,0.937805003,32221395,32221396,32221397
pure_euler,shock_bubble,hllc,4,2000,788,29288,3,435.627683584,435.212886784,436.782149888,3,235.715169792,234.322780416,236.016567552,3,19.080652032,19.058879744,19.153226496,18.478090000,2497.979390727,22.830859389,12.353622371,1.848110514,32221395,32221396,32221397
pure_euler,shock_bubble,hllc,8,4000,1576,59222,0,,,,0,,,,3,134.873314560,134.866134784,134.893400320,134.122500000,2783.541076255,,,,32221395,32221396,32221397
pure_euler,shock_bubble,force,1,500,197,6606,5,4.883797504,4.784485120,4.939348992,5,9.703235328,7.530810112,12.386579968,5,1.237008384,1.152389632,1.377676032,0.642053100,1013.453560149,3.948071466,7.844114441,0.503316403,32221395,32221396,32221397
pure_euler,shock_bubble,force,2,1000,394,13808,5,22.105551616,22.063208448,22.330709504,5,26.785379072,26.699270400,26.892201472,5,3.425656064,3.406088960,3.584781312,2.763912000,1968.352103830,6.452939584,7.819050883,0.825284255,32221395,32221396,32221397
pure_euler,shock_bubble,force,4,2000,788,28626,3,428.456780800,427.008340224,430.931978752,3,232.550659584,232.006535936,236.039772160,3,17.876345856,17.828738560,17.932357376,17.295840000,2608.406183221,23.967805515,13.008847639,1.842423417,32221395,32221396,32221397
pure_euler,shock_bubble,force,8,4000,1576,58285,0,,,,0,,,,3,126.807194368,126.784982272,126.815436288,126.043800000,2915.086977701,,,,32221395,32221396,32221397
pure_euler,blast_wave,hll,1,500,500,2306,5,2.701327616,2.650685184,2.809190912,5,7.475358464,7.355324672,7.613502976,5,0.961092352,0.900910080,1.080061440,0.300000000,1921.666666667,2.810684749,7.777981428,0.361364292,32221395,32221396,32221397
pure_euler,blast_wave,hll,2,1000,1000,4711,5,33.809978112,33.448790272,34.860655872,5,26.029235712,25.442094080,29.900865280,5,2.516611328,2.480561920,2.542684672,1.900000000,2479.473684211,13.434723803,10.342970097,1.298923199,32221395,32221396,32221397
pure_euler,blast_wave,hll,4,2000,2000,9618,3,414.444906496,413.665967360,415.358841600,3,192.601725440,191.326008064,192.954137344,3,13.466322944,13.456806144,13.471838464,12.800000000,3005.625000000,30.776397404,14.302473381,2.151823435,32221395,32221396,32221397
pure_euler,blast_wave,hll,8,4000,4000,19463,0,,,,0,,,,3,99.188135424,99.187194624,99.202267392,98.200000000,3171.160896130,,,,32221395,32221396,32221397
