case,solver,n,old_mhd_arch_steps,pure_euler_steps,old_mhd_arch_openmp_wall_s,pure_euler_openmp_wall_s,openmp_old_over_pure,old_mhd_arch_mpi_wall_s,pure_euler_mpi_wall_s,mpi_old_over_pure,old_mhd_arch_gpu_wall_s,pure_euler_gpu_wall_s,gpu_old_over_pure
shock_bubble,hll,4,27879,28196,867.441280768,417.946102272,2.075485992,439.455292928,208.579902976,2.106891827,38.609565184,16.868039936,2.288918293
shock_bubble,hll,8,57592,57932,,,,,,,294.904492800,119.186298880,2.474315383
shock_bubble,hllc,4,29288,29288,918.239932416,435.627683584,2.107854866,501.308029696,235.715169792,2.126753361,67.161634304,19.080652032,3.519881511
shock_bubble,hllc,8,59222,59222,,,,,,,515.727097088,134.873314560,3.823789004
shock_bubble,force,4,28435,28626,886.658148608,428.456780800,2.069422608,530.909442816,232.550659584,2.282984034,41.688617472,17.876345856,2.332054762
shock_bubble,force,8,58183,58285,,,,,,,317.760150528,126.807194368,2.505852701
blast_wave,hll,4,9508,9618,795.023109376,414.444906496,1.918284184,393.611588864,192.601725440,2.043655569,32.036475904,13.466322944,2.379006952
blast_wave,hll,8,19350,19463,,,,,,,249.171960832,99.188135424,2.512114577
blast_wave,hllc,4,9751,9751,821.915976192,419.646484736,1.958591353,441.332359168,211.966380288,2.082086596,55.756812544,15.086199040,3.695882071
blast_wave,hllc,8,19905,19905,,,,,,,441.461884928,113.268536064,3.897480274
blast_wave,force,4,9590,9616,809.380443392,414.639617536,1.952009430,467.052105216,207.452316160,2.251370888,34.355921152,14.167237888,2.425026065
blast_wave,force,8,19434,19459,,,,,,,266.585596672,105.061215744,2.537431104
