# commit_message: UPDATE: profile result
arch,case,solver,n,nx,ny,total_cells,total_steps,real_seconds,user_seconds,sys_seconds,max_rss_kb,git_branch,cuda_arch
gpu,orszag_tang,hll,1,192,192,36864,1249,4.09,3.65,0.38,271996,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hllc,1,192,192,36864,1334,0.94,0.59,0.28,114692,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hlld,1,192,192,36864,1424,1.01,0.69,0.27,114692,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,force,1,192,192,36864,1279,0.76,0.44,0.28,114692,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hll,1,400,400,160000,516,0.76,0.42,0.29,130824,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hllc,1,400,400,160000,577,1.09,0.70,0.30,130824,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hlld,1,400,400,160000,572,1.01,0.70,0.29,130824,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,force,1,400,400,160000,538,0.85,0.48,0.30,130824,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hll,2,384,384,147456,2606,2.25,1.87,0.30,129256,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hllc,2,384,384,147456,2842,3.42,3.09,0.29,129256,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hlld,2,384,384,147456,3238,4.19,3.77,0.31,129256,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,force,2,384,384,147456,2683,2.63,2.16,0.33,129256,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hll,2,800,800,640000,1099,3.41,2.96,0.36,198916,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hllc,2,800,800,640000,1175,5.41,4.98,0.34,198916,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hlld,2,800,800,640000,1171,5.42,4.98,0.40,198916,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,force,2,800,800,640000,1124,3.98,3.52,0.32,198916,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hll,4,768,768,589824,5409,14.01,13.56,0.31,191812,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hllc,4,768,768,589824,6084,23.89,23.41,0.34,191812,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hlld,4,768,768,589824,15185,70.65,69.96,0.51,191812,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,force,4,768,768,589824,5560,16.27,15.86,0.34,191808,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hll,4,1600,1600,2560000,2274,24.42,23.82,0.52,469556,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hllc,4,1600,1600,2560000,2375,39.61,38.91,0.45,469552,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hlld,4,1600,1600,2560000,2371,39.93,39.03,0.48,469552,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,force,4,1600,1600,2560000,2308,29.34,27.39,0.50,469552,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hll,8,1536,1536,2359296,11100,110.34,105.92,0.75,441404,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hllc,8,1536,1536,2359296,15482,239.03,227.53,1.15,441404,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,hlld,8,1536,1536,2359296,33152,594.54,585.99,0.95,441372,1.psi_damping_to_y,-arch=sm_80
gpu,orszag_tang,force,8,1536,1536,2359296,11271,124.99,123.61,0.48,441404,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hll,8,3200,3200,10240000,4652,195.51,192.31,1.15,1551548,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hllc,8,3200,3200,10240000,4779,316.39,310.75,1.24,1551328,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,hlld,8,3200,3200,10240000,4774,318.02,311.84,1.30,1551604,1.psi_damping_to_y,-arch=sm_80
gpu,rotor,force,8,3200,3200,10240000,4695,226.91,223.11,1.10,1551632,1.psi_damping_to_y,-arch=sm_80
