# commit_message: DEBUG: debug_hlld - fix potential bug caused by sign error
arch,case,solver,n,nx,ny,total_cells,total_steps,real_seconds,user_seconds,sys_seconds,max_rss_kb,git_branch,cuda_arch
gpu,orszag_tang,hll,1,192,192,36864,1249,4.44,3.91,0.43,271500,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,1,192,192,36864,1334,1.14,0.60,0.29,114636,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,1,192,192,36864,13366,7.54,6.49,0.36,114968,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,1,192,192,36864,1279,0.87,0.43,0.31,115096,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,1,400,400,160000,516,0.86,0.41,0.32,130820,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,1,400,400,160000,577,1.13,0.69,0.32,130824,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,1,400,400,160000,7137,10.87,9.73,0.37,130820,2.debug_hlld,-arch=sm_80
gpu,rotor,force,1,400,400,160000,538,0.84,0.49,0.31,130820,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,2,384,384,147456,2606,2.30,1.88,0.31,129196,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,2,384,384,147456,2842,3.82,3.07,0.35,129252,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,2,384,384,147456,8501,12.13,10.65,0.45,129252,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,2,384,384,147456,2683,2.65,2.17,0.33,129252,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,2,800,800,640000,1099,3.46,2.99,0.34,198744,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,2,800,800,640000,1175,5.77,4.92,0.35,198912,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,2,800,800,640000,4483,22.65,20.88,0.46,198912,2.debug_hlld,-arch=sm_80
gpu,rotor,force,2,800,800,640000,1124,4.20,3.45,0.40,198592,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,4,768,768,589824,5409,14.70,13.38,0.41,191808,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,4,768,768,589824,6084,24.78,23.12,0.50,191752,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,4,768,768,589824,7013,30.60,28.99,0.45,191808,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,4,768,768,589824,5560,16.77,15.75,0.41,191808,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,4,1600,1600,2560000,2274,24.50,23.81,0.49,469552,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,4,1600,1600,2560000,2375,40.03,38.76,0.55,469520,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,4,1600,1600,2560000,1285,22.42,21.61,0.55,469552,2.debug_hlld,-arch=sm_80
gpu,rotor,force,4,1600,1600,2560000,2308,28.64,27.58,0.58,469552,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,8,1536,1536,2359296,11100,108.95,106.50,0.69,441220,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,8,1536,1536,2359296,15482,233.74,229.28,1.07,441404,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,8,1536,1536,2359296,7894,126.97,123.45,1.03,441404,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,8,1536,1536,2359296,11271,126.67,122.98,0.86,441348,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,8,3200,3200,10240000,4652,195.83,191.98,1.48,1551316,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,8,3200,3200,10240000,4779,315.15,310.49,1.75,1551316,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,8,3200,3200,10240000,3647,249.76,247.80,1.07,1551636,2.debug_hlld,-arch=sm_80
gpu,rotor,force,8,3200,3200,10240000,4695,228.65,221.78,1.96,1551408,2.debug_hlld,-arch=sm_80
