# commit_message: UPDATE: fix hlld
arch,case,solver,n,nx,ny,total_cells,total_steps,real_seconds,user_seconds,sys_seconds,max_rss_kb,git_branch,cuda_arch
gpu,orszag_tang,hll,1,192,192,36864,1249,3.24,2.77,0.38,237648,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,1,192,192,36864,1334,0.89,0.55,0.29,114252,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,1,192,192,36864,1347,0.99,0.64,0.30,114252,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,1,192,192,36864,1279,0.78,0.42,0.30,114252,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,1,400,400,160000,516,0.78,0.40,0.31,130824,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,1,400,400,160000,577,1.02,0.67,0.30,130824,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,1,400,400,160000,575,1.19,0.74,0.31,130824,2.debug_hlld,-arch=sm_80
gpu,rotor,force,1,400,400,160000,538,0.89,0.49,0.30,130824,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,2,384,384,147456,2606,2.27,1.88,0.30,129244,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,2,384,384,147456,2842,3.25,2.88,0.31,129244,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,2,384,384,147456,3010,3.99,3.60,0.31,129244,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,2,384,384,147456,2683,2.58,2.15,0.31,129244,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,2,800,800,640000,1099,3.38,3.01,0.33,198868,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,2,800,800,640000,1175,5.08,4.66,0.33,198868,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,2,800,800,640000,1173,5.66,5.21,0.40,198868,2.debug_hlld,-arch=sm_80
gpu,rotor,force,2,800,800,640000,1124,3.90,3.48,0.37,198868,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,4,768,768,589824,5409,14.00,13.58,0.34,191688,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,4,768,768,589824,6084,22.25,21.68,0.54,191688,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,4,768,768,589824,6595,27.63,27.20,0.37,191688,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,4,768,768,589824,5560,16.14,15.74,0.35,191688,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,4,1600,1600,2560000,2274,24.62,23.91,0.69,469432,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,4,1600,1600,2560000,2375,36.94,36.37,0.52,469432,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,4,1600,1600,2560000,2374,41.66,41.00,0.59,469432,2.debug_hlld,-arch=sm_80
gpu,rotor,force,4,1600,1600,2560000,2308,28.25,27.59,0.48,469432,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,8,1536,1536,2359296,11100,108.02,107.52,0.46,441384,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,8,1536,1536,2359296,15482,215.75,215.24,0.50,441384,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,8,1536,1536,2359296,23703,395.40,394.28,1.06,441384,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,8,1536,1536,2359296,11271,123.73,122.57,1.12,441384,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,8,3200,3200,10240000,4652,195.41,194.24,1.11,1551596,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,8,3200,3200,10240000,4779,292.29,291.27,1.03,1551596,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,8,3200,3200,10240000,4781,329.00,327.70,1.31,1551596,2.debug_hlld,-arch=sm_80
gpu,rotor,force,8,3200,3200,10240000,4695,223.30,221.23,1.93,1551596,2.debug_hlld,-arch=sm_80
