# commit_message: UPDATE: profile result
arch,case,solver,n,nx,ny,total_cells,total_steps,real_seconds,user_seconds,sys_seconds,max_rss_kb,git_branch,git_commit,cuda_arch
gpu,orszag_tang,hll,1,192,192,36864,1249,0.73,0.17,0.50,134044,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hllc,1,192,192,36864,1334,0.75,0.24,0.49,133640,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hlld,1,192,192,36864,1424,0.75,0.24,0.49,133692,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,force,1,192,192,36864,1279,0.69,0.18,0.49,133772,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hll,1,400,400,160000,516,0.69,0.16,0.51,151260,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hllc,1,400,400,160000,577,0.77,0.25,0.50,151376,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hlld,1,400,400,160000,572,0.74,0.22,0.50,151628,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,force,1,400,400,160000,538,0.68,0.17,0.50,150928,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hll,2,384,384,147456,2606,1.26,0.74,0.50,151216,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hllc,2,384,384,147456,2842,1.71,1.19,0.50,147820,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hlld,2,384,384,147456,3238,1.72,1.19,0.50,149796,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,force,2,384,384,147456,2683,1.32,0.78,0.51,150052,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hll,2,800,800,640000,1099,1.47,0.94,0.51,219468,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hllc,2,800,800,640000,1175,2.13,1.60,0.50,219384,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hlld,2,800,800,640000,1171,1.93,1.39,0.52,219228,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,force,2,800,800,640000,1124,1.55,1.01,0.52,219224,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hll,4,768,768,589824,5409,4.79,4.24,0.51,212504,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hllc,4,768,768,589824,6084,8.11,7.54,0.52,212192,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hlld,4,768,768,589824,15185,20.30,19.66,0.54,214364,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,force,4,768,768,589824,5560,5.15,4.60,0.51,212396,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hll,4,1600,1600,2560000,2274,7.32,6.72,0.55,490588,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hllc,4,1600,1600,2560000,2375,12.39,11.78,0.54,489972,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hlld,4,1600,1600,2560000,2371,10.77,10.16,0.54,492080,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,force,4,1600,1600,2560000,2308,7.83,7.24,0.53,490428,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hll,8,1536,1536,2359296,11100,30.98,30.26,0.56,461888,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hllc,8,1536,1536,2359296,15482,70.96,70.08,0.55,464276,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,hlld,8,1536,1536,2359296,33152,160.93,159.64,0.57,463208,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,orszag_tang,force,8,1536,1536,2359296,11271,33.44,32.74,0.53,459964,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hll,8,3200,3200,10240000,4652,53.93,53.05,0.63,1570136,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hllc,8,3200,3200,10240000,4779,94.36,93.26,0.66,1572312,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,hlld,8,3200,3200,10240000,4774,80.85,79.83,0.62,1569928,1.psi_damping_to_y,7319d4a,-arch=sm_80
gpu,rotor,force,8,3200,3200,10240000,4695,57.69,56.78,0.62,1572068,1.psi_damping_to_y,7319d4a,-arch=sm_80
