# commit_message: UPDATE: fix hlld
arch,case,solver,n,nx,ny,total_cells,total_steps,real_seconds,user_seconds,sys_seconds,max_rss_kb,git_branch,git_commit,cuda_arch
gpu,orszag_tang,hll,1,192,192,36864,1249,0.74,0.17,0.54,133108,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hllc,1,192,192,36864,1334,0.78,0.20,0.56,133200,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hlld,1,192,192,36864,1347,0.79,0.24,0.54,133168,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,force,1,192,192,36864,1279,0.75,0.18,0.53,131124,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hll,1,400,400,160000,516,0.75,0.15,0.55,152520,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hllc,1,400,400,160000,577,0.81,0.21,0.55,150484,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hlld,1,400,400,160000,575,0.82,0.24,0.55,151308,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,force,1,400,400,160000,538,0.77,0.17,0.56,150720,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hll,2,384,384,147456,2606,1.28,0.70,0.54,149260,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hllc,2,384,384,147456,2842,1.56,0.97,0.54,149888,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hlld,2,384,384,147456,3010,1.78,1.18,0.55,149420,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,force,2,384,384,147456,2683,1.33,0.76,0.55,149264,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hll,2,800,800,640000,1099,1.52,0.93,0.56,218480,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hllc,2,800,800,640000,1175,1.96,1.33,0.57,218256,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hlld,2,800,800,640000,1173,2.14,1.55,0.56,218304,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,force,2,800,800,640000,1124,1.60,1.01,0.56,218192,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hll,4,768,768,589824,5409,4.83,4.20,0.57,211412,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hllc,4,768,768,589824,6084,6.90,6.25,0.58,211784,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hlld,4,768,768,589824,6595,8.64,8.01,0.56,211888,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,force,4,768,768,589824,5560,5.18,4.57,0.56,211832,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hll,4,1600,1600,2560000,2274,7.36,6.67,0.59,489124,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hllc,4,1600,1600,2560000,2375,10.34,9.63,0.59,489728,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hlld,4,1600,1600,2560000,2374,12.12,11.38,0.60,489464,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,force,4,1600,1600,2560000,2308,7.88,7.23,0.58,489856,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hll,8,1536,1536,2359296,11100,30.87,30.01,0.59,461548,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hllc,8,1536,1536,2359296,15482,58.01,56.99,0.59,461520,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,hlld,8,1536,1536,2359296,23703,113.12,111.66,0.60,459980,2.debug_hlld,844611c,-arch=sm_80
gpu,orszag_tang,force,8,1536,1536,2359296,11271,33.27,32.48,0.57,458912,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hll,8,3200,3200,10240000,4652,53.44,52.31,0.68,1568720,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hllc,8,3200,3200,10240000,4779,76.73,75.46,0.69,1571360,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,hlld,8,3200,3200,10240000,4781,90.80,89.40,0.67,1568724,2.debug_hlld,844611c,-arch=sm_80
gpu,rotor,force,8,3200,3200,10240000,4695,57.57,56.42,0.68,1571180,2.debug_hlld,844611c,-arch=sm_80
