# commit_message: UPDATE: potential bug caused by HLLD fallback
arch,case,solver,n,nx,ny,total_cells,total_steps,real_seconds,user_seconds,sys_seconds,max_rss_kb,git_branch,git_commit,cuda_arch
gpu,orszag_tang,hll,1,192,192,36864,1231,0.73,0.16,0.55,134748,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hllc,1,192,192,36864,1264,0.73,0.18,0.53,133208,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hlld,1,192,192,36864,1280,0.79,0.21,0.55,134796,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,force,1,192,192,36864,1251,0.72,0.16,0.54,134776,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hll,1,400,400,160000,512,0.71,0.13,0.56,152788,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hllc,1,400,400,160000,565,0.77,0.19,0.56,152684,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hlld,1,400,400,160000,561,0.79,0.22,0.55,151164,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,force,1,400,400,160000,531,0.71,0.14,0.55,152600,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hll,2,384,384,147456,2557,1.18,0.60,0.55,151156,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hllc,2,384,384,147456,2626,1.36,0.79,0.55,150996,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hlld,2,384,384,147456,2645,1.52,0.94,0.56,151376,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,force,2,384,384,147456,2587,1.20,0.63,0.55,151156,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hll,2,800,800,640000,1088,1.35,0.76,0.56,221976,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hllc,2,800,800,640000,1157,1.71,1.13,0.56,220376,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hlld,2,800,800,640000,1155,1.94,1.35,0.56,220708,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,force,2,800,800,640000,1113,1.42,0.83,0.57,220496,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hll,4,768,768,589824,5261,3.97,3.37,0.57,213868,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hllc,4,768,768,589824,5421,5.38,4.78,0.56,213772,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hlld,4,768,768,589824,5419,6.31,5.70,0.56,211824,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,force,4,768,768,589824,5329,4.24,3.63,0.57,213740,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hll,4,1600,1600,2560000,2259,5.95,5.32,0.58,491376,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hllc,4,1600,1600,2560000,2349,8.71,8.07,0.58,491552,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hlld,4,1600,1600,2560000,2348,10.57,9.91,0.59,491616,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,force,4,1600,1600,2560000,2291,6.49,5.85,0.59,491464,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hll,8,1536,1536,2359296,10820,24.04,23.30,0.59,463432,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hllc,8,1536,1536,2359296,11093,34.90,34.09,0.59,463696,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,hlld,8,1536,1536,2359296,11108,42.36,41.51,0.58,463724,2.debug_hlld,4a4efea,-arch=sm_80
gpu,orszag_tang,force,8,1536,1536,2359296,10935,26.15,25.40,0.58,463432,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hll,8,3200,3200,10240000,4627,42.46,41.52,0.67,1573492,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hllc,8,3200,3200,10240000,4748,64.23,63.16,0.68,1573296,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,hlld,8,3200,3200,10240000,4747,79.16,78.00,0.68,1571240,2.debug_hlld,4a4efea,-arch=sm_80
gpu,rotor,force,8,3200,3200,10240000,4671,46.46,45.49,0.68,1573292,2.debug_hlld,4a4efea,-arch=sm_80
