phase,tag,x_bx,x_by,x_lb,y_bx,y_by,y_lb,repeat,measured_steps,wall_ms,ms_per_step,x_ms_per_step,y_ms_per_step,state_hash,correctness,binary
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,1,500,1751.363325000,3.502726650,1.592715265,1.712955392,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,2,500,1753.564465000,3.507128930,1.593290750,1.714673664,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,3,500,1752.012196000,3.504024392,1.593495554,1.712891901,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,4,500,1751.441172000,3.502882344,1.591779328,1.713256447,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,5,500,1752.205650000,3.504411300,1.593044993,1.713610752,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,1,500,1756.256980000,3.512513960,1.601751040,1.712592895,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,2,500,1755.865082000,3.511730164,1.601794046,1.712519166,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,3,500,1756.157783000,3.512315566,1.602015230,1.712936959,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,4,500,1756.659367000,3.513318734,1.602652160,1.713068031,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,5,500,1756.784953000,3.513569906,1.602142208,1.714137088,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
