phase,tag,x_bx,x_by,x_lb,y_bx,y_by,y_lb,repeats,measured_steps,median_wall_ms,median_ms_per_step,median_x_ms_per_step,median_y_ms_per_step,state_hash,correctness,binary
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,5,500,1752.012196000,3.504024392,1.593044993,1.713256447,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,5,500,1756.256980000,3.512513960,1.602015230,1.712936959,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
x,x_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,5,500,1652.916865000,3.305833730,1.396088834,1.713246206,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x16x8_lb3_y16x8_lb0/main_gpu
x,x_x32x4_lb0_y16x8_lb0,32,4,0,16,8,0,5,500,1750.280743000,3.500561486,1.589233662,1.714196481,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb0_y16x8_lb0/main_gpu
x,x_x32x4_lb2_y16x8_lb0,32,4,2,16,8,0,5,500,1753.089259000,3.506178518,1.594499071,1.713616898,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb2_y16x8_lb0/main_gpu
x,x_x32x4_lb3_y16x8_lb0,32,4,3,16,8,0,5,500,1652.492144000,3.304984288,1.395273730,1.713190913,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb3_y16x8_lb0/main_gpu
x,x_x8x16_lb0_y16x8_lb0,8,16,0,16,8,0,5,500,1796.926425000,3.593852850,1.681428484,1.713401856,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb0_y16x8_lb0/main_gpu
x,x_x8x16_lb2_y16x8_lb0,8,16,2,16,8,0,5,500,1800.889792000,3.601779584,1.690753020,1.713844224,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb2_y16x8_lb0/main_gpu
x,x_x8x16_lb3_y16x8_lb0,8,16,3,16,8,0,5,500,1747.026045000,3.494052090,1.584072705,1.713313791,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,5,500,1652.971584000,3.305943168,1.396056063,1.713041409,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
