variant,canonicalize_y,y_lb,registers,stack_bytes,spill_store_bytes,spill_load_bytes,repeat,measured_steps,wall_ms,ms_per_step,x_ms_per_step,y_ms_per_step,state_hash,correctness
native_y_lb0,0,0,201,0,0,0,1,500,1562.439746000,3.124879492,1.222137858,1.707030530,b5b8bfe2431aff9b,PASS
native_y_lb0,0,0,201,0,0,0,2,500,1561.901710000,3.123803420,1.221980161,1.706655747,b5b8bfe2431aff9b,PASS
native_y_lb0,0,0,201,0,0,0,3,500,1560.070003000,3.120140006,1.218717693,1.706074113,b5b8bfe2431aff9b,PASS
native_y_lb0,0,0,201,0,0,0,4,500,1562.783475000,3.125566950,1.223540734,1.706516479,b5b8bfe2431aff9b,PASS
native_y_lb0,0,0,201,0,0,0,5,500,1561.605801000,3.123211602,1.221210112,1.706649603,b5b8bfe2431aff9b,PASS
canonical_y_lb0,1,0,197,0,0,0,1,500,1559.480665000,3.118961330,1.218732033,1.704935428,b5b8bfe2431aff9b,PASS
canonical_y_lb0,1,0,197,0,0,0,2,500,1559.970849000,3.119941698,1.219284991,1.705166852,b5b8bfe2431aff9b,PASS
canonical_y_lb0,1,0,197,0,0,0,3,500,1563.692624000,3.127385248,1.225764862,1.706129411,b5b8bfe2431aff9b,PASS
canonical_y_lb0,1,0,197,0,0,0,4,500,1559.649683000,3.119299366,1.218672642,1.704529922,b5b8bfe2431aff9b,PASS
canonical_y_lb0,1,0,197,0,0,0,5,500,1560.150327000,3.120300654,1.219659777,1.705015297,b5b8bfe2431aff9b,PASS
canonical_y_lb2,1,2,197,0,0,0,1,500,1559.839560000,3.119679120,1.218979841,1.705009155,b5b8bfe2431aff9b,PASS
canonical_y_lb2,1,2,197,0,0,0,2,500,1560.083130000,3.120166260,1.219891200,1.705019394,b5b8bfe2431aff9b,PASS
canonical_y_lb2,1,2,197,0,0,0,3,500,1560.605145000,3.121210290,1.220863998,1.704716293,b5b8bfe2431aff9b,PASS
canonical_y_lb2,1,2,197,0,0,0,4,500,1560.149455000,3.120298910,1.220481025,1.705031682,b5b8bfe2431aff9b,PASS
canonical_y_lb2,1,2,197,0,0,0,5,500,1559.195635000,3.118391270,1.218293760,1.705095170,b5b8bfe2431aff9b,PASS
canonical_y_lb3,1,3,168,96,40,52,1,500,1442.710532000,2.885421064,1.221140482,1.467209733,b5b8bfe2431aff9b,PASS
canonical_y_lb3,1,3,168,96,40,52,2,500,1441.653786000,2.883307572,1.220560896,1.467148291,b5b8bfe2431aff9b,PASS
canonical_y_lb3,1,3,168,96,40,52,3,500,1441.218745000,2.882437490,1.219057663,1.466980356,b5b8bfe2431aff9b,PASS
canonical_y_lb3,1,3,168,96,40,52,4,500,1441.712546000,2.883425092,1.219733502,1.466863621,b5b8bfe2431aff9b,PASS
canonical_y_lb3,1,3,168,96,40,52,5,500,1442.213132000,2.884426264,1.221543936,1.466949634,b5b8bfe2431aff9b,PASS
