phase,tag,x_bx,x_by,x_lb,y_bx,y_by,y_lb,repeat,measured_steps,wall_ms,ms_per_step,x_ms_per_step,y_ms_per_step,state_hash,correctness,binary
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,1,200,1221.147278000,6.105736390,2.605113915,3.059276742,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,2,200,1221.262065000,6.106310325,2.604710879,3.059445704,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,3,200,1220.762400000,6.103812000,2.603101276,3.059353530,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,4,200,1220.883859000,6.104419295,2.604105582,3.059752893,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,5,200,1220.730860000,6.103654300,2.602985119,3.060162497,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb5,16,8,3,16,8,5,1,200,1163.324060000,5.816620300,2.602029922,2.774799281,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y16x8_lb5/main_gpu
y,y_x16x8_lb3_y16x8_lb5,16,8,3,16,8,5,2,200,1164.507498000,5.822537490,2.604063839,2.776555454,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y16x8_lb5/main_gpu
y,y_x16x8_lb3_y16x8_lb5,16,8,3,16,8,5,3,200,1163.922431000,5.819612155,2.604299368,2.776038331,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y16x8_lb5/main_gpu
y,y_x16x8_lb3_y16x8_lb5,16,8,3,16,8,5,4,200,1164.035405000,5.820177025,2.604142874,2.775843757,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y16x8_lb5/main_gpu
y,y_x16x8_lb3_y16x8_lb5,16,8,3,16,8,5,5,200,1164.185278000,5.820926390,2.604039193,2.776273841,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y16x8_lb5/main_gpu
y,y_x16x8_lb3_y32x4_lb0,16,8,3,32,4,0,1,200,1277.585867000,6.387929335,2.603400800,3.343119304,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y32x4_lb0/main_gpu
y,y_x16x8_lb3_y32x4_lb0,16,8,3,32,4,0,2,200,1277.543567000,6.387717835,2.603108637,3.341711295,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y32x4_lb0/main_gpu
y,y_x16x8_lb3_y32x4_lb0,16,8,3,32,4,0,3,200,1277.581168000,6.387905840,2.603365122,3.342694336,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y32x4_lb0/main_gpu
y,y_x16x8_lb3_y32x4_lb0,16,8,3,32,4,0,4,200,1277.886816000,6.389434080,2.604915841,3.342028737,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y32x4_lb0/main_gpu
y,y_x16x8_lb3_y32x4_lb0,16,8,3,32,4,0,5,200,1278.024706000,6.390123530,2.603505123,3.342904263,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y32x4_lb0/main_gpu
y,y_x16x8_lb3_y32x4_lb5,16,8,3,32,4,5,1,200,1292.015984000,6.460079920,2.604765921,3.413350403,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y32x4_lb5/main_gpu
y,y_x16x8_lb3_y32x4_lb5,16,8,3,32,4,5,2,200,1291.901229000,6.459506145,2.603648486,3.413447680,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y32x4_lb5/main_gpu
y,y_x16x8_lb3_y32x4_lb5,16,8,3,32,4,5,3,200,1292.246433000,6.461232165,2.606284167,3.412889600,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y32x4_lb5/main_gpu
y,y_x16x8_lb3_y32x4_lb5,16,8,3,32,4,5,4,200,1293.977556000,6.469887780,2.612706882,3.415065600,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y32x4_lb5/main_gpu
y,y_x16x8_lb3_y32x4_lb5,16,8,3,32,4,5,5,200,1291.956374000,6.459781870,2.603762401,3.412797439,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y32x4_lb5/main_gpu
y,y_x16x8_lb3_y8x16_lb0,16,8,3,8,16,0,1,200,1233.173311000,6.165866555,2.604385915,3.119677351,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y8x16_lb0/main_gpu
y,y_x16x8_lb3_y8x16_lb0,16,8,3,8,16,0,2,200,1233.117636000,6.165588180,2.603196969,3.120122796,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y8x16_lb0/main_gpu
y,y_x16x8_lb3_y8x16_lb0,16,8,3,8,16,0,3,200,1232.878093000,6.164390465,2.603430878,3.120015275,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y8x16_lb0/main_gpu
y,y_x16x8_lb3_y8x16_lb0,16,8,3,8,16,0,4,200,1232.919731000,6.164598655,2.603254887,3.120798637,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y8x16_lb0/main_gpu
y,y_x16x8_lb3_y8x16_lb0,16,8,3,8,16,0,5,200,1232.939268000,6.164696340,2.603214734,3.119999915,9503f661fd124ae3,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/32219899_blast_wave_hllc_n8/bin/y_x16x8_lb3_y8x16_lb0/main_gpu
